lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-5.25,-64.75,lowprec_pft,lowprec,pft,2.414788,27.950035,2.414788,0.3292606,0.32608376,0.33782238
-5.25,-64.25,lowprec_pft,lowprec,pft,2.413679,28.006153,2.413679,0.32931602,0.32673847,0.33729935
-5.25,-63.75,lowprec_pft,lowprec,pft,2.410978,28.058802,2.410978,0.3294511,0.32735268,0.3367255
-5.25,-63.25,lowprec_pft,lowprec,pft,2.406728,28.07218,2.406728,0.32966362,0.32750877,0.3364016
-5.25,-62.75,lowprec_pft,lowprec,pft,2.408318,28.04372,2.408318,0.32958412,0.32717674,0.33671825
-5.25,-62.25,lowprec_pft,lowprec,pft,2.420307,27.928825,2.420307,0.32898464,0.3258363,0.3382751
-5.25,-61.75,lowprec_pft,lowprec,pft,2.88585,26.575512,2.88585,0.30570751,0.31004763,0.37282997
-5.25,-59.75,lowprec_pft,lowprec,pft,2.431321,28.124249,2.431321,0.328434,0.32811623,0.3371973
-5.25,-59.25,lowprec_pft,lowprec,pft,2.422889,27.946278,2.422889,0.32885555,0.3260399,0.33825882
-5.25,-58.75,lowprec_pft,lowprec,pft,2.43166,28.156876,2.43166,0.32841698,0.32849686,0.3369424
-5.25,-58.25,lowprec_pft,lowprec,pft,2.907389,27.221678,2.907389,0.30463053,0.31758625,0.36852215
-5.25,-53.25,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-4.75,-72.25,lowprec_pft,lowprec,pft,2.458651,27.819788,2.458651,0.3270674,0.3245642,0.341101
-4.75,-71.75,lowprec_pft,lowprec,pft,2.449805,27.885977,2.449805,0.32750973,0.32533638,0.34010708
-4.75,-71.25,lowprec_pft,lowprec,pft,2.41875,27.945261,2.41875,0.3290625,0.32602806,0.3380603
-4.75,-70.75,lowprec_pft,lowprec,pft,2.407499,28.038652,2.407499,0.32962505,0.3271176,0.3367196
-4.75,-70.25,lowprec_pft,lowprec,pft,2.405983,28.073614,2.405983,0.3297009,0.32752552,0.33635242
-4.75,-69.75,lowprec_pft,lowprec,pft,2.406119,28.103085,2.406119,0.32969402,0.32786934,0.3361136
-4.75,-69.25,lowprec_pft,lowprec,pft,2.406012,28.10742,2.406012,0.32969936,0.32791992,0.3360721
-4.75,-68.75,lowprec_pft,lowprec,pft,2.40541,28.095623,2.40541,0.32972946,0.3277823,0.33614033
-4.75,-68.25,lowprec_pft,lowprec,pft,2.406054,28.088682,2.406054,0.32969727,0.3277013,0.3362303
-4.75,-67.75,lowprec_pft,lowprec,pft,2.40618,28.095062,2.40618,0.329691,0.32777573,0.3361835
-4.75,-67.25,lowprec_pft,lowprec,pft,2.408414,28.109879,2.408414,0.32957924,0.3279486,0.33617165
-4.75,-66.75,lowprec_pft,lowprec,pft,2.409743,28.030201,2.409743,0.3295129,0.327019,0.3369022
-4.75,-66.25,lowprec_pft,lowprec,pft,2.410128,27.94189,2.410128,0.3294936,0.32598873,0.33765728
-4.75,-65.75,lowprec_pft,lowprec,pft,2.415033,27.914478,2.415033,0.32924835,0.32566887,0.338131
-4.75,-65.25,lowprec_pft,lowprec,pft,2.416291,27.895504,2.416291,0.32918545,0.32544754,0.33835205
-4.75,-64.75,lowprec_pft,lowprec,pft,2.416542,27.904743,2.416542,0.32917294,0.32555534,0.3382875
-4.75,-64.25,lowprec_pft,lowprec,pft,2.415838,27.995104,2.415838,0.32920815,0.32660957,0.33749935
-4.75,-63.75,lowprec_pft,lowprec,pft,2.412501,28.041168,2.412501,0.329375,0.327147,0.33694866
-4.75,-63.25,lowprec_pft,lowprec,pft,2.40739,28.059755,2.40739,0.32963043,0.3273638,0.3365382
-4.75,-62.75,lowprec_pft,lowprec,pft,2.410649,28.032457,2.410649,0.3294675,0.32704533,0.3369286
-4.75,-62.25,lowprec_pft,lowprec,pft,2.439464,27.87555,2.439464,0.32802677,0.32521473,0.33967697
-4.75,-61.75,lowprec_pft,lowprec,pft,2.445714,27.880367,2.445714,0.32771427,0.32527096,0.33994926
-4.75,-59.75,lowprec_pft,lowprec,pft,2.453317,28.203716,2.453317,0.32733414,0.32904335,0.33763485
-4.75,-59.25,lowprec_pft,lowprec,pft,2.42818,28.140587,2.42818,0.32859097,0.32830685,0.33690407
-4.75,-58.75,lowprec_pft,lowprec,pft,2.457525,28.23978,2.457525,0.32712376,0.3294641,0.3375447
-4.75,-58.25,lowprec_pft,lowprec,pft,2.908758,27.262753,2.908758,0.30456207,0.31806543,0.3682483
-4.75,-57.75,lowprec_pft,lowprec,pft,2.928399,27.851969,2.928399,0.30358006,0.32493965,0.36432022
-4.75,-57.25,lowprec_pft,lowprec,pft,3,30,3,0.3,0.35,0.35
-4.75,-53.25,lowprec_pft,lowprec,pft,2.477947,28.097916,2.477947,0.32610264,0.32780903,0.33974804
-4.75,-52.75,lowprec_pft,lowprec,pft,2.411277,28.192818,2.411277,0.32943615,0.3289162,0.3356237
-4.75,-52.25,lowprec_pft,lowprec,pft,2.410128,28.183949,2.410128,0.3294936,0.3288127,0.33564022
-4.25,-73.25,lowprec_pft,lowprec,pft,2.406582,28.014385,2.406582,0.3296709,0.3268345,0.3368759
-4.25,-72.75,lowprec_pft,lowprec,pft,2.417817,27.952656,2.417817,0.3291091,0.3261143,0.33795208
-4.25,-72.25,lowprec_pft,lowprec,pft,2.456668,27.856724,2.456668,0.3271666,0.3249951,0.340694
-4.25,-71.75,lowprec_pft,lowprec,pft,2.435887,27.917988,2.435887,0.32820564,0.32570984,0.33914444
-4.25,-71.25,lowprec_pft,lowprec,pft,2.409723,28.001293,2.409723,0.32951385,0.32668175,0.337142
-4.25,-70.75,lowprec_pft,lowprec,pft,2.406221,28.065496,2.406221,0.3296889,0.3274308,0.33643192
-4.25,-70.25,lowprec_pft,lowprec,pft,2.405987,28.096382,2.405987,0.32970066,0.32779114,0.33616283
-4.25,-69.75,lowprec_pft,lowprec,pft,2.40589,28.110376,2.40589,0.3297055,0.3279544,0.33604134
-4.25,-69.25,lowprec_pft,lowprec,pft,2.406962,28.113039,2.406962,0.3296519,0.32798546,0.33607285
-4.25,-68.75,lowprec_pft,lowprec,pft,2.405953,28.115065,2.405953,0.32970234,0.3280091,0.3360054
-4.25,-68.25,lowprec_pft,lowprec,pft,2.403988,28.115585,2.403988,0.32980064,0.32801514,0.33590286
-4.25,-67.75,lowprec_pft,lowprec,pft,2.404359,28.106451,2.404359,0.32978203,0.3279086,0.33599754
-4.25,-67.25,lowprec_pft,lowprec,pft,2.404932,28.11078,2.404932,0.32975338,0.3279591,0.3359901
-4.25,-66.75,lowprec_pft,lowprec,pft,2.406204,28.071022,2.406204,0.32968983,0.32749527,0.336385
-4.25,-66.25,lowprec_pft,lowprec,pft,2.407652,28.018692,2.407652,0.3296174,0.32688477,0.3368935
-4.25,-65.75,lowprec_pft,lowprec,pft,2.412713,28.001175,2.412713,0.32936436,0.32668037,0.33729248
-4.25,-65.25,lowprec_pft,lowprec,pft,2.414963,27.915012,2.414963,0.3292519,0.32567513,0.33812305
-4.25,-64.75,lowprec_pft,lowprec,pft,2.417655,27.969759,2.417655,0.32911728,0.32631386,0.33780144
-4.25,-64.25,lowprec_pft,lowprec,pft,2.42172,27.973732,2.42172,0.32891403,0.3263602,0.33797153
-4.25,-63.75,lowprec_pft,lowprec,pft,2.415595,28.005253,2.415595,0.32922028,0.326728,0.3374026
-4.25,-63.25,lowprec_pft,lowprec,pft,2.415092,28.003292,2.415092,0.3292454,0.3267051,0.33739388
