ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
167,222,-6.25,-68.75,PFT_nclim,3.359575,1.262699,11.933485,1.053411,1.194824,9.685249,10.73866
167,223,-6.25,-68.25,PFT_nclim,3.228802,1.225535,11.510128,1.030523,1.169243,9.310362,10.340885
167,224,-6.25,-67.75,PFT_nclim,3.225231,1.230529,11.501245,1.038693,1.178861,9.28369,10.322383
167,225,-6.25,-67.25,PFT_nclim,3.309574,1.274244,11.955154,1.076684,1.222191,9.656281,10.732965
167,226,-6.25,-66.75,PFT_nclim,3.752676,1.522527,14.345368,1.275458,1.44988,11.620032,12.89549
167,227,-6.25,-66.25,PFT_nclim,4.297242,1.777138,16.341148,1.471883,1.676344,13.192924,14.664807
167,228,-6.25,-65.75,PFT_nclim,4.582277,1.93147,17.127289,1.596956,1.822186,13.708146,15.305102
167,229,-6.25,-65.25,PFT_nclim,5.059782,2.102526,18.547028,1.705532,1.946225,14.89527,16.600802
167,230,-6.25,-64.75,PFT_nclim,4.901931,1.821087,16.775202,1.464126,1.662422,13.648652,15.112778
167,231,-6.25,-64.25,PFT_nclim,4.849758,1.803266,16.749344,1.447378,1.643399,13.658566,15.105944
167,232,-6.25,-63.75,PFT_nclim,4.468441,1.734568,15.966331,1.409428,1.602578,12.954325,14.363753
167,233,-6.25,-63.25,PFT_nclim,4.281163,1.706562,15.442279,1.402915,1.597288,12.442075,13.84499
167,234,-6.25,-62.75,PFT_nclim,4.568242,1.789141,16.19217,1.460259,1.661549,13.070362,14.530621
167,235,-6.25,-62.25,PFT_nclim,4.933071,1.891658,17.382767,1.534878,1.746641,14.101248,15.636126
167,236,-6.25,-61.75,PFT_nclim,6.009642,2.08871,18.788157,1.646197,1.865185,15.276775,16.922972
167,237,-6.25,-61.25,PFT_nclim,5.992428,2.077174,18.70349,1.635765,1.85145,15.216274,16.852039
167,238,-6.25,-60.75,PFT_nclim,6.011918,2.134901,19.191393,1.682225,1.905362,15.603806,17.286031
167,239,-6.25,-60.25,PFT_nclim,5.694236,1.947842,17.818989,1.532923,1.733264,14.552801,16.085724
167,240,-6.25,-59.75,PFT_nclim,5.485569,1.861916,17.186913,1.465902,1.656483,14.064528,15.53043
167,241,-6.25,-59.25,PFT_nclim,5.376305,1.830861,17.012106,1.442978,1.63038,13.938748,15.381726
167,242,-6.25,-58.75,PFT_nclim,5.21046,1.764741,16.494349,1.391465,1.571739,13.531144,14.922609
167,243,-6.25,-58.25,PFT_nclim,5.129094,1.730602,16.225065,1.366712,1.543654,13.3147,14.681412
167,244,-6.25,-57.75,PFT_nclim,5.012043,1.667638,15.620217,1.321723,1.504911,12.793583,14.115306
167,245,-6.25,-57.25,PFT_nclim,3.025129,1.217498,12.970467,0.991933,1.15717,10.821363,11.813296
168,220,-5.75,-69.75,PFT_nclim,3.637093,1.358513,12.85025,1.123152,1.273828,10.453271,11.576423
168,221,-5.75,-69.25,PFT_nclim,3.654021,1.318552,12.440301,1.087151,1.256926,10.096224,11.183375
168,222,-5.75,-68.75,PFT_nclim,3.656967,1.302513,12.299331,1.069018,1.238851,9.991462,11.06048
168,223,-5.75,-68.25,PFT_nclim,3.482033,1.25261,11.698082,1.043491,1.203662,9.450929,10.49442
168,224,-5.75,-67.75,PFT_nclim,3.469066,1.26511,11.922869,1.053458,1.1942,9.67521,10.728668
168,225,-5.75,-67.25,PFT_nclim,3.662709,1.334827,12.60174,1.113053,1.287122,10.201565,11.314618
168,226,-5.75,-66.75,PFT_nclim,4.04401,1.59098,15.108786,1.318848,1.498885,12.291052,13.6099
168,227,-5.75,-66.25,PFT_nclim,4.577792,1.901136,17.053877,1.567982,1.788983,13.696911,15.264893
168,228,-5.75,-65.75,PFT_nclim,4.594132,1.884726,16.874641,1.560948,1.77919,13.534504,15.095452
168,229,-5.75,-65.25,PFT_nclim,5.083402,2.072961,18.357857,1.686966,1.924467,14.746423,16.433389
168,230,-5.75,-64.75,PFT_nclim,5.270758,1.970721,18.136784,1.578594,1.794653,14.763537,16.342131
168,231,-5.75,-64.25,PFT_nclim,5.002515,1.817472,16.947567,1.455281,1.652749,13.839539,15.29482
168,232,-5.75,-63.75,PFT_nclim,5.076236,1.875467,17.491148,1.500627,1.706147,14.284374,15.785001
168,233,-5.75,-63.25,PFT_nclim,5.15334,1.845125,17.36333,1.474707,1.675344,14.21328,15.687987
168,234,-5.75,-62.75,PFT_nclim,5.269535,1.977133,18.283907,1.586187,1.80486,14.89286,16.479047
168,235,-5.75,-62.25,PFT_nclim,5.248357,2.038563,18.69365,1.645508,1.873539,15.174603,16.820111
168,236,-5.75,-61.75,PFT_nclim,6.35872,2.420911,20.549152,1.917586,2.185332,16.446236,18.363822
168,237,-5.75,-61.25,PFT_nclim,6.371624,2.39741,20.541056,1.896169,2.157069,16.48782,18.383989
168,238,-5.75,-60.75,PFT_nclim,6.185227,2.212309,19.658043,1.744505,1.978359,15.935178,17.679683
168,239,-5.75,-60.25,PFT_nclim,6.112846,2.183527,19.4896,1.719542,1.948806,15.821251,17.540793
168,240,-5.75,-59.75,PFT_nclim,5.779806,1.985418,18.107443,1.561828,1.766093,14.779523,16.341351
168,241,-5.75,-59.25,PFT_nclim,5.570904,1.891165,17.377605,1.487957,1.681244,14.208406,15.696363
168,242,-5.75,-58.75,PFT_nclim,5.355135,1.824817,16.993423,1.437424,1.623869,13.93213,15.369554
168,243,-5.75,-58.25,PFT_nclim,5.194155,1.763779,16.550419,1.392794,1.573122,13.584502,14.977296
168,244,-5.75,-57.75,PFT_nclim,5.144958,1.716502,15.97328,1.357357,1.534696,13.081226,14.438583
168,245,-5.75,-57.25,PFT_nclim,3.462807,1.276373,13.437347,1.059412,1.239379,11.138557,12.197969
168,246,-5.75,-56.75,PFT_nclim,3.070932,1.258399,13.400891,1.052467,1.218065,11.130361,12.182828
168,247,-5.75,-56.25,PFT_nclim,2.227709,1.068855,12.284065,0.887139,1.040732,10.356194,11.243333
168,248,-5.75,-55.75,PFT_nclim,5.228835,1.723791,15.962847,1.366287,1.578602,13.017958,14.384245
168,249,-5.75,-55.25,PFT_nclim,5.057837,1.667717,15.352139,1.328248,1.561836,12.462053,13.790301
168,250,-5.75,-54.75,PFT_nclim,4.859012,1.703637,16.004072,1.334003,1.530184,13.139885,14.473888
