"","ny","nx","lat","lon","clima","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"16",167,230,-6.25,-64.75,"lowprec",3072695800,3.514573,2.879769,1.623141,71.85259,5.242473,0.285137,17.968044,1.345387,1.367357,15.255301,2.413885,27.9817,2.413885,32.930573,32.645317,33.75134,-0.559705128320548,0.201974053893816,-2.51046670213251e-06,2.99994276281579e-07,1.86322586989349e-07,-4.11467888420442e-16
"17",167,231,-6.25,-64.25,"lowprec",3072695800,3.617272,2.894033,1.64424,75.859856,5.189147,0.29141,18.17799,1.351553,1.371411,15.455025,2.412642,28.005322,2.412642,32.936783,32.672874,33.72544,-0.58596346690718,0.177747419285928,-7.72393611445099e-06,-6.98408742061396e-07,-7.36934917128403e-07,-4.65344294274175e-16
"18",167,232,-6.25,-63.75,"lowprec",3072695800,2.512941,2.259191,1.27875,81.07974,5.109571,0.254302,15.048256,1.076583,1.113394,12.858279,2.431122,27.926975,2.431122,32.84439,32.58147,33.883133,-0.339402532537857,0.217667586103827,5.10693683522523e-07,-1.05773701947198e-06,-4.35993195191473e-07,-2.80611667241977e-16
"19",167,233,-6.25,-63.25,"lowprec",3072695800,2.243827,2.098568,1.179989,85.65857,5.231012,0.242745,13.917203,0.989806,1.034572,11.892825,2.440914,27.872887,2.440914,32.795433,32.518368,33.97716,-0.20212921076449,0.253576633207747,1.67082776660841e-06,3.2557563295479e-06,-1.54838807796448e-08,-1.98489840180314e-16
"20",167,234,-6.25,-62.75,"lowprec",3072695800,2.651172,2.377956,1.357879,83.55136,5.295242,0.256333,15.538549,1.137855,1.178216,13.222479,2.431308,27.886543,2.431308,32.843456,32.5343,33.917744,-0.316018372425035,0.264596400130442,-7.12175945350932e-06,4.66579404208994e-06,1.14167656473834e-07,-2.73075090731389e-16
"21",168,220,-5.75,-69.75,"lowprec",3075515400,2.769064,2.303966,1.257292,87.81852,4.210904,0.280586,14.014244,1.056504,1.072167,11.885572,2.410787,27.957048,2.410787,32.946064,32.616554,33.756397,-0.581113435978909,0.239636367547115,-6.70627608653773e-07,-9.94897386127902e-07,-9.77440131139096e-07,-4.76900051960152e-16
"22",168,221,-5.75,-69.25,"lowprec",3075515400,2.947523,2.369698,1.293578,91.09503,4.101552,0.289939,14.351039,1.071478,1.083129,12.19643,2.407701,28.003014,2.407701,32.961494,32.67018,33.70266,-0.639627454291513,0.19437391375448,-1.38668841627443e-06,3.58421777951756e-07,-1.40950023396272e-06,-5.49376428127303e-16
"23",168,222,-5.75,-68.75,"lowprec",3075515400,2.986737,2.38548,1.293114,93.35474,4.085946,0.291415,14.307874,1.066867,1.077387,12.16362,2.406639,28.011055,2.406639,32.966805,32.679565,33.690643,-0.655665967398081,0.187923512612591,-1.81622541776949e-06,3.32342989217693e-06,4.97404610490422e-07,-5.09882258778561e-16
"24",168,223,-5.75,-68.25,"lowprec",3075515400,2.807184,2.302443,1.228677,96.2468,4.113337,0.283225,13.553611,1.026134,1.037528,11.489948,2.406822,27.972553,2.406822,32.965893,32.634644,33.72365,-0.633330239058738,0.232603855178746,3.06145182804585e-06,6.3320205886952e-07,-5.7687876041379e-07,-5.39890955653488e-16
"25",168,224,-5.75,-67.75,"lowprec",3075515400,2.758017,2.295698,1.213338,92.02148,4.167426,0.278311,13.324801,1.018961,1.031086,11.274753,2.406792,27.947124,2.406792,32.966038,32.60498,33.74469,-0.62025198244545,0.262532966236268,-1.82081019341196e-06,-1.00645433034896e-06,9.3667390215716e-07,-4.7777229212818e-16
"26",168,225,-5.75,-67.25,"lowprec",3075515400,2.859305,2.34978,1.281165,90.551506,4.319411,0.282576,14.33363,1.076926,1.09066,12.166044,2.408866,27.973478,2.408866,32.955666,32.635723,33.733097,-0.611112356496076,0.225759342732006,-4.59330502601552e-06,-1.01468355301337e-07,-5.95390343976696e-07,-4.83860389797454e-16
"27",168,226,-5.75,-66.75,"lowprec",3075515400,3.252497,2.557323,1.522383,83.565315,4.647638,0.301157,16.845787,1.272617,1.290465,14.282703,2.410322,27.969622,2.410322,32.948387,32.631226,33.743587,-0.592909713386636,0.226183673870942,-4.41255771652105e-06,1.71985376012929e-06,2.44127269005169e-07,-4.41607731735603e-16
"28",168,227,-5.75,-66.25,"lowprec",3075515400,3.669101,2.718302,1.809748,70.68232,4.774911,0.322794,19.196201,1.505088,1.531826,16.159286,2.412743,27.905144,2.412743,32.936283,32.556004,33.80943,-0.53201933410063,0.295048485206205,-1.24252677782821e-06,-2.09865917777385e-06,1.21870325025869e-06,-4.19063330884928e-16
"29",168,228,-5.75,-65.75,"lowprec",3075515400,3.398722,2.693206,1.689643,67.776665,5.090991,0.294505,18.172277,1.410224,1.441653,15.320399,2.416961,27.883537,2.416961,32.915195,32.530792,33.848522,-0.473780082079976,0.308532284791854,-8.34028853827218e-07,1.47912770410985e-06,-5.13026993932426e-07,-4.33632021064966e-16
"30",168,229,-5.75,-65.25,"lowprec",3075515400,3.693854,2.80662,1.839572,58.149063,5.071727,0.307007,19.757992,1.537352,1.570158,16.650482,2.417135,27.90066,2.417135,32.914333,32.55077,33.835125,-0.480881007063799,0.287946358923482,7.93103755303975e-06,2.28391571172049e-06,-2.86208517641037e-08,-3.79622648251131e-16
"31",168,230,-5.75,-64.75,"lowprec",3075515400,3.966052,3.00986,1.813777,64.83206,5.100646,0.306543,19.851757,1.484089,1.50592,16.861748,2.412497,28.0037,2.412497,32.93751,32.670982,33.72607,-0.586718765830662,0.180060961897617,-4.68649721521719e-06,-2.09330572301103e-06,-6.47551596293268e-07,-4.56488825799039e-16
"32",168,231,-5.75,-64.25,"lowprec",3075515400,3.769452,2.921152,1.683629,72.98254,5.020601,0.298735,18.570732,1.374172,1.392717,15.803843,2.411613,28.022158,2.411613,32.941936,32.69252,33.70627,-0.606273668067296,0.160885880653567,2.21417322135431e-06,-2.11553885787197e-06,1.02332766471324e-06,-3.88537143911898e-16
"33",168,232,-5.75,-63.75,"lowprec",3075515400,3.854633,2.887236,1.748192,74.774025,4.861997,0.310321,19.243967,1.420545,1.440144,16.383278,2.412145,28.0289,2.412145,32.939266,32.700382,33.703304,-0.603916076816471,0.151470713156538,-1.04855428654238e-05,1.73823012261654e-07,-5.2613639366355e-07,-4.60641936788238e-16
