50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
2.0264315605163574,2.7028005123138428,2.159167528152466,2.4397666454315186,2.3073415756225586,2.2628867626190186
2.385890483856201,2.5505716800689697,2.412515640258789,2.3261024951934814,2.368964672088623,2.313424825668335
2.3939125537872314,2.1001486778259277,2.2268848419189453,2.311073064804077,2.253131628036499,2.4625914096832275
2.254420042037964,2.1573612689971924,2.3032326698303223,2.1609914302825928,2.2787139415740967,2.3354310989379883
2.267026662826538,2.3301377296447754,2.25712251663208,2.2312395572662354,2.3474628925323486,2.304905891418457
2.656444787979126,2.3546431064605713,2.392500638961792,2.316605567932129,2.423412799835205,2.370037794113159
2.385068893432617,2.2127788066864014,2.456981897354126,2.3869433403015137,2.481220006942749,2.359271287918091
2.1008687019348145,2.4896934032440186,2.305698871612549,2.261565685272217,2.382830858230591,2.2609219551086426
2.2591845989227295,2.1801557540893555,2.297316312789917,2.397397518157959,2.4623332023620605,2.3910653591156006
1.9782731533050537,2.298978567123413,2.489530086517334,2.378927230834961,2.5334601402282715,2.407972574234009
