50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
0.2776941955089569,0.3393996059894562,0.3309061825275421,0.33117347955703735,0.31857481598854065,0.32125383615493774
0.32732242345809937,0.33320853114128113,0.3256567418575287,0.30676013231277466,0.3203510642051697,0.32386648654937744
0.37181034684181213,0.3005552291870117,0.3105088472366333,0.3145013749599457,0.320649653673172,0.32510873675346375
0.2994202971458435,0.32691583037376404,0.3162234425544739,0.32303863763809204,0.3157365918159485,0.320563405752182
0.3169633746147156,0.33441340923309326,0.311914324760437,0.3294513523578644,0.31665414571762085,0.32167187333106995
0.3168414533138275,0.30770936608314514,0.31702524423599243,0.32518336176872253,0.32139354944229126,0.32348766922950745
0.33242732286453247,0.29481422901153564,0.30906420946121216,0.3290157616138458,0.33335331082344055,0.32260510325431824
0.349735289812088,0.310689240694046,0.3199567198753357,0.3340344727039337,0.3240830600261688,0.3192206025123596
0.33397525548934937,0.34156158566474915,0.32862022519111633,0.3046659231185913,0.3281331956386566,0.31785622239112854
0.3104175925254822,0.3099221885204315,0.3307085633277893,0.3152548372745514,0.32492056488990784,0.32273125648498535
