50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
2.531116247177124,2.4749135971069336,2.234715700149536,2.3584043979644775,2.355234384536743,2.225733995437622
2.026928424835205,2.069643974304199,2.424860715866089,2.5544841289520264,2.3493175506591797,2.1661481857299805
2.158327341079712,2.3723912239074707,2.3317534923553467,2.4075071811676025,2.2256083488464355,2.4000353813171387
1.832676887512207,2.4163196086883545,2.312906265258789,2.3780643939971924,2.3485004901885986,2.308288097381592
2.6762969493865967,2.377244472503662,2.3519554138183594,2.2796273231506348,2.3475449085235596,2.278333902359009
2.281750440597534,2.342834234237671,2.201258659362793,2.215651273727417,2.218069553375244,2.3199286460876465
2.4072272777557373,2.3738224506378174,2.4356603622436523,2.2164061069488525,2.2823646068573,2.3062078952789307
1.741441249847412,1.8959978818893433,2.1978442668914795,2.1733062267303467,2.357416868209839,2.2976677417755127
1.9381802082061768,2.104095458984375,2.2914016246795654,2.340590000152588,2.293588161468506,2.3168559074401855
2.0032460689544678,2.392367124557495,2.205230951309204,2.2715110778808594,2.3076541423797607,2.3253791332244873
