50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
0.24203847348690033,0.2973841726779938,0.2010912448167801,0.4569229483604431,0.24118167161941528,0.2883232831954956
0.2259698212146759,0.35348767042160034,0.15120673179626465,0.28794407844543457,0.3460926413536072,0.29755309224128723
0.2615690529346466,0.3183162212371826,0.22788192331790924,0.27475133538246155,0.26232942938804626,0.4149412214756012
0.1964401751756668,0.20019762217998505,0.24626198410987854,0.2687714695930481,0.28975290060043335,0.34559300541877747
0.17175576090812683,0.316399484872818,0.21107719838619232,0.392110139131546,0.3250093460083008,0.3016824722290039
0.2124880850315094,48.29106521606445,0.23595164716243744,0.25453439354896545,0.2725222706794739,0.3691442906856537
0.16452662646770477,0.2002364546060562,0.21915704011917114,0.2499869465827942,0.3298076093196869,0.2458987683057785
0.2912152111530304,0.32492151856422424,0.2835313677787781,0.2164427638053894,0.3160020411014557,0.26535817980766296
0.15152263641357422,0.3325815498828888,0.20206435024738312,0.2716843783855438,53.245445251464844,0.337536096572876
0.27553310990333557,0.154789537191391,0.2701646685600281,0.28764596581459045,0.256716787815094,0.29073718190193176
