50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
24.967533111572266,25.68975257873535,23.220895767211914,25.58582305908203,26.461193084716797,24.98694610595703
18.737390518188477,22.105695724487305,27.17995262145996,23.699462890625,24.464082717895508,25.583110809326172
33.44915771484375,25.718748092651367,27.03201675415039,26.10957908630371,26.154117584228516,25.73554229736328
27.04410743713379,24.647802352905273,26.75115966796875,25.80133056640625,23.830791473388672,25.650371551513672
26.64105796813965,25.563045501708984,27.89426040649414,27.926795959472656,25.24151039123535,26.877471923828125
26.223283767700195,18.719572067260742,27.488296508789062,22.56967544555664,26.00424575805664,26.552303314208984
27.46662712097168,23.06178092956543,21.99383544921875,24.906614303588867,27.457462310791016,26.875221252441406
29.679039001464844,25.509870529174805,24.31074333190918,26.149038314819336,25.472488403320312,24.563295364379883
29.70502471923828,26.911718368530273,24.73189926147461,24.637454986572266,24.9722843170166,26.79705238342285
24.56267547607422,27.438053131103516,22.012985229492188,26.47833251953125,23.916263580322266,27.282384872436523
