50 PLS,100 PLS,200 PLS,500 PLS,1000 PLS,3000 PLS
0.35310909152030945,0.3239246606826782,0.3427852988243103,0.3423904776573181,0.3460199236869812,0.3503287434577942
0.3290153443813324,0.3343725800514221,0.34235450625419617,0.3596341609954834,0.355133056640625,0.351033091545105
0.32804733514785767,0.34558621048927307,0.35987141728401184,0.3501887321472168,0.3523322641849518,0.35323819518089294
0.3739725649356842,0.33503735065460205,0.3570636808872223,0.3542878031730652,0.35229727625846863,0.35244452953338623
0.3434653580188751,0.3292202055454254,0.34878090023994446,0.34553804993629456,0.359585702419281,0.3535267412662506
0.3971807360649109,0.3724782466888428,0.35286974906921387,0.35559582710266113,0.3540603220462799,0.350734680891037
0.3551827669143677,0.3624216914176941,0.3576044738292694,0.34010475873947144,0.3462017774581909,0.35206952691078186
0.2876800298690796,0.3771013021469116,0.3522721827030182,0.3411606252193451,0.3515435755252838,0.353821337223053
0.3200429081916809,0.3446844816207886,0.36069008708000183,0.3624660074710846,0.35586944222450256,0.3556785583496094
0.3690303564071655,0.366524338722229,0.35035714507102966,0.35578495264053345,0.3548811972141266,0.34994813799858093
