,X,nx,ny,lat,lon,clima,gpp,ra,npp,rc,et,wue,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm,PC1,PC2,PC3,PC4,PC5,PC6
314,314,218,207,13.75,-70.75,lowprec,1.38476990461349,1.03126239776611,0.359386503696442,152.788812255859,3.15603280067444,0.009302999824286,0.247188204526901,2.23063037395477,0.952139109373093,0.611467903852463,0.667023411393166,5.21589097976685,10.497917842865,3.77833449840546,0.518779698014259,0.115737599879503,0.365482604503632,-2.82607164679865,9.80577530315864,2.42003016627703,1.74055450320119,1.13917813139179,2.64245270675811E-06
344,344,219,206,13.25,-70.25,lowprec,2.89729387760162,1.58354250192642,1.31375168561935,125.662516784668,4.07211670875549,0.007914000190794,0.456155002117157,14.7372031211853,0.794026005268097,0.714827197790146,13.2283504486084,2.13770089149475,26.029669380188,2.0086465716362,0.328457301855087,0.361931201815605,0.30961129963398,1.55067190940181,0.160899207372945,-0.294608575702845,0.048129090487311,-0.02902969514936,2.17772186522636E-06
312,312,218,205,12.75,-70.75,lowprec,2.93881788253784,1.6191486954689,1.31966928243637,134.931748962402,4.26499929428101,0.0072038999293,0.451885294914246,14.782177066803,0.790782296657562,0.730122196674347,13.261274433136,2.12961468696594,26.036421585083,2.03203991651535,0.327590098977089,0.361394795775414,0.311015200614929,1.52159351843251,0.132769822402787,-0.301170132431662,0.024954715684371,-0.045724729532249,-9.42744498078074E-07
3,3,204,182,1.25,-77.75,lowprec,2.95066778659821,1.6418585896492,1.30880900621414,153.105853271484,4.28041391372681,0.00602599978447,0.445973601937294,14.6925720214844,0.790298503637314,0.729199206829071,13.1730736732483,2.13779242038727,26.0712482452393,2.04153578281403,0.327948603034019,0.360711398720741,0.311340400576592,1.51347882222148,0.142657661259674,-0.278513854122993,0.027790457813466,-0.052565373307899,-4.20629679370732E-06
343,343,219,205,12.75,-70.25,lowprec,2.98538100719452,1.67473759651184,1.31064338684082,143.466694641113,4.23720321655273,0.006723000202328,0.441737395524979,14.6770611763,0.786739695072174,0.7186851978302,13.1716416358948,2.12640588283539,26.0638301849365,2.02394400835037,0.329594895243645,0.35998800098896,0.310416996479034,1.54862466737863,0.204223557969067,-0.269198253177697,0.036490016707407,-0.066873420148528,1.21609534714517E-06
4,4,204,183,1.75,-77.75,lowprec,2.95043959617615,1.65278680324554,1.2976527929306,164.421273803711,4.388361120224,0.005355999805033,0.442452296614647,14.5500563621521,0.779664701223373,0.73742790222168,13.0329606056213,2.13640681505203,26.0281139373779,2.07052359580994,0.326875901222229,0.360317403078079,0.312806499004364,1.46997123322853,0.113552492346322,-0.291603543058128,0.00310989651432,-0.055987043579363,2.15922673346691E-06
311,311,218,204,12.25,-70.75,lowprec,2.99301030635834,1.68633819818497,1.30667229890823,156.35951385498,4.47434492111206,0.005861000157893,0.439323201775551,14.5895407676697,0.776663100719452,0.736401003599167,13.0764682769775,2.12359350919724,26.0121702194214,2.0617861032486,0.32741559445858,0.359910398721695,0.312673801183701,1.48443936601545,0.136863025893413,-0.298528104677133,0.001684894451963,-0.068924908302616,2.24796187997534E-06
24,24,207,177,-1.25,-76.25,lowprec,2.85568072795868,1.58393040895462,1.27175039052963,126.455294799805,3.92234208583832,0.007903999648988,0.447468003630638,14.3648093223572,0.775746405124664,0.717384403944015,12.8716794013977,2.1582665681839,26.1054935455322,2.05677032470703,0.326912000775337,0.3612399995327,0.311848098039627,1.48583228974708,0.098652857308391,-0.267853692147592,0.029935716178347,-0.035647097020076,-9.63147671506626E-07
313,313,218,206,13.25,-70.75,lowprec,2.63130171298981,1.38404598236084,1.24725568294525,122.368609619141,3.96485142707825,0.008475000038743,0.476877704262733,13.8110395431519,0.775298303365707,0.697937405109405,12.3377972602844,2.17357921600342,25.9038166046143,2.03712862730026,0.329635202884674,0.359348100423813,0.311016601324081,1.48690502136831,0.228349513319243,-0.264711839924431,0.061720229886543,-0.021190764547285,1.11229521942979E-06
10,10,205,182,1.25,-77.25,lowprec,2.95641179084778,1.6854975104332,1.27091419696808,162.198629760742,4.15307474136353,0.005743999965489,0.432004800438881,14.2903386116028,0.774098896980286,0.708591890335083,12.8076451301575,2.14439768791199,26.1454620361328,2.04700918197632,0.330316001176834,0.358354699611664,0.311329400539398,1.5272651620923,0.223479819225183,-0.218377105618127,0.041712901654819,-0.084739251223394,-9.98519787798191E-07
11,11,205,183,1.75,-77.25,lowprec,2.94610750675201,1.68052308559418,1.26558451652527,175.268598937988,4.21186690330505,0.005121999885887,0.431820806860924,14.2215424537659,0.768938195705414,0.711046206951141,12.7415570259094,2.14365420341492,26.1124513626099,2.05757150650024,0.329712703824043,0.358369797468185,0.311917597055435,1.50774350557738,0.207332986831778,-0.230250066715412,0.03129651087579,-0.082345698226693,-9.70583810877557E-07
2,2,204,181,0.75,-77.75,lowprec,2.69471840858459,1.44532499313355,1.24939340353012,145.652928161621,4.01425204277039,0.006577999796718,0.466410303115845,13.9348197937012,0.766507494449616,0.720050305128098,12.4482575416565,2.17395548820496,25.9287250518799,2.082770216465,0.32559429705143,0.360988402366638,0.313417500257492,1.41507314035924,0.078441987946344,-0.302660503802954,0.01699548284782,-0.009127894489559,-2.04163445882699E-06
