ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
167,225,-6.25,-67.25,pftnclim,nclim,2.437363,25.213924,2.522576,0.336491,0.282909,0.3759
167,226,-6.25,-66.75,pftnclim,nclim,2.439306,25.229267,2.524468,0.336429,0.283068,0.375875
167,227,-6.25,-66.25,pftnclim,nclim,2.440658,25.215479,2.525668,0.336387,0.2829,0.376045
167,228,-6.25,-65.75,pftnclim,nclim,2.441449,25.171278,2.526304,0.336372,0.282378,0.376441
167,229,-6.25,-65.25,pftnclim,nclim,2.441726,25.199612,2.526429,0.336344,0.282728,0.376193
167,230,-6.25,-64.75,pftnclim,nclim,2.438134,25.283226,2.522917,0.336417,0.28377,0.375292
167,231,-6.25,-64.25,pftnclim,nclim,2.438373,25.294155,2.523202,0.336408,0.283892,0.37522
167,232,-6.25,-63.75,pftnclim,nclim,2.439088,25.255615,2.524043,0.336406,0.283411,0.375605
167,233,-6.25,-63.25,pftnclim,nclim,2.439499,25.209908,2.524521,0.336413,0.282856,0.376025
167,234,-6.25,-62.75,pftnclim,nclim,2.439173,25.22704,2.524082,0.336412,0.283074,0.375845
167,235,-6.25,-62.25,pftnclim,nclim,2.439846,25.253122,2.524797,0.336382,0.283373,0.375668
167,236,-6.25,-61.75,pftnclim,nclim,2.436236,25.30788,2.520559,0.336443,0.284134,0.374907
167,237,-6.25,-61.25,pftnclim,nclim,2.435609,25.317429,2.519807,0.336459,0.284264,0.374775
167,238,-6.25,-60.75,pftnclim,nclim,2.436206,25.312414,2.520395,0.336443,0.284197,0.37485
167,239,-6.25,-60.25,pftnclim,nclim,2.434833,25.340982,2.519024,0.336473,0.284556,0.37453
167,240,-6.25,-59.75,pftnclim,nclim,2.434534,25.352123,2.518752,0.33648,0.284689,0.374424
167,241,-6.25,-59.25,pftnclim,nclim,2.4348,25.356707,2.519086,0.336474,0.284733,0.37441
167,242,-6.25,-58.75,pftnclim,nclim,2.434779,25.361994,2.519119,0.336476,0.284791,0.374373
167,243,-6.25,-58.25,pftnclim,nclim,2.434747,25.362299,2.519119,0.336478,0.284791,0.374373
167,244,-6.25,-57.75,pftnclim,nclim,2.438808,25.29665,2.524225,0.336372,0.283891,0.375295
167,245,-6.25,-57.25,pftnclim,nclim,2.455683,25.221333,2.543988,0.335993,0.282511,0.377306
168,220,-5.75,-69.75,pftnclim,nclim,2.437179,25.265001,2.522285,0.336471,0.283532,0.375441
168,221,-5.75,-69.25,pftnclim,nclim,2.451885,24.836277,2.547957,0.337044,0.276926,0.381648
168,222,-5.75,-68.75,pftnclim,nclim,2.453509,24.791964,2.550797,0.337109,0.276231,0.382309
168,223,-5.75,-68.25,pftnclim,nclim,2.449882,24.857235,2.54477,0.337001,0.277345,0.381167
168,224,-5.75,-67.75,pftnclim,nclim,2.436404,25.250456,2.521525,0.336499,0.283368,0.375522
168,225,-5.75,-67.25,pftnclim,nclim,2.451962,24.818443,2.548042,0.33705,0.276711,0.381805
168,226,-5.75,-66.75,pftnclim,nclim,2.439509,25.256817,2.524638,0.336411,0.283397,0.375648
168,227,-5.75,-66.25,pftnclim,nclim,2.44149,25.186905,2.526435,0.336368,0.282556,0.376324
168,228,-5.75,-65.75,pftnclim,nclim,2.440562,25.183975,2.525452,0.336394,0.282539,0.376288
168,229,-5.75,-65.25,pftnclim,nclim,2.441515,25.199923,2.526238,0.336352,0.282733,0.376182
168,230,-5.75,-64.75,pftnclim,nclim,2.439337,25.283,2.524126,0.33638,0.283751,0.375363
168,231,-5.75,-64.25,pftnclim,nclim,2.43856,25.300385,2.523443,0.336398,0.283962,0.375185
168,232,-5.75,-63.75,pftnclim,nclim,2.439557,25.296135,2.524486,0.336372,0.283893,0.375284
168,233,-5.75,-63.25,pftnclim,nclim,2.438977,25.310352,2.523948,0.336382,0.284069,0.375136
168,234,-5.75,-62.75,pftnclim,nclim,2.44008,25.28005,2.524988,0.33636,0.283697,0.375446
168,235,-5.75,-62.25,pftnclim,nclim,2.440576,25.258884,2.525441,0.336357,0.283439,0.375649
168,236,-5.75,-61.75,pftnclim,nclim,2.439744,25.209259,2.524016,0.336367,0.28292,0.375931
168,237,-5.75,-61.25,pftnclim,nclim,2.438715,25.233198,2.522864,0.336391,0.283226,0.375654
168,238,-5.75,-60.75,pftnclim,nclim,2.436876,25.291573,2.521101,0.336429,0.283938,0.375068
168,239,-5.75,-60.25,pftnclim,nclim,2.436505,25.302324,2.520688,0.336437,0.284074,0.374951
168,240,-5.75,-59.75,pftnclim,nclim,2.434889,25.338528,2.519049,0.336471,0.284528,0.37455
168,241,-5.75,-59.25,pftnclim,nclim,2.434385,25.349678,2.51855,0.336484,0.284667,0.374428
168,242,-5.75,-58.75,pftnclim,nclim,2.434676,25.361076,2.518935,0.336476,0.284789,0.374363
168,243,-5.75,-58.25,pftnclim,nclim,2.434727,25.364628,2.51906,0.336477,0.284823,0.374346
168,244,-5.75,-57.75,pftnclim,nclim,2.434971,25.344301,2.519463,0.336476,0.284568,0.374553
168,245,-5.75,-57.25,pftnclim,nclim,2.455051,25.152487,2.544217,0.335983,0.281678,0.377949
168,246,-5.75,-56.75,pftnclim,nclim,2.452565,25.238613,2.539847,0.336088,0.282821,0.376849
168,247,-5.75,-56.25,pftnclim,nclim,2.462241,25.24671,2.55071,0.335838,0.28268,0.377502
168,248,-5.75,-55.75,pftnclim,nclim,2.445816,25.18256,2.532898,0.336178,0.282346,0.37687
168,249,-5.75,-55.25,pftnclim,nclim,2.456999,24.789898,2.55339,0.336792,0.276361,0.382334
168,250,-5.75,-54.75,pftnclim,nclim,2.443596,25.27531,2.52949,0.336264,0.283523,0.375819
168,251,-5.75,-54.25,pftnclim,nclim,2.441676,25.309177,2.526984,0.336308,0.283992,0.375346
168,252,-5.75,-53.75,pftnclim,nclim,2.441452,25.31098,2.526576,0.336313,0.284029,0.375293
169,217,-5.25,-71.25,pftnclim,nclim,2.436821,25.245985,2.52178,0.33648,0.283325,0.375559
169,218,-5.25,-70.75,pftnclim,nclim,2.436601,25.299276,2.521557,0.336466,0.283964,0.375096
169,219,-5.25,-70.25,pftnclim,nclim,2.453538,24.81622,2.550843,0.337094,0.276521,0.382106
169,220,-5.25,-69.75,pftnclim,nclim,2.453622,24.821451,2.550983,0.33709,0.276578,0.382074
169,221,-5.25,-69.25,pftnclim,nclim,2.453406,24.848705,2.550744,0.337087,0.276908,0.381828
169,222,-5.25,-68.75,pftnclim,nclim,2.453048,24.84744,2.550329,0.337096,0.276903,0.381811
169,223,-5.25,-68.25,pftnclim,nclim,2.451126,24.84956,2.547219,0.337049,0.277102,0.381491
169,224,-5.25,-67.75,pftnclim,nclim,2.435897,25.290947,2.520956,0.336491,0.283867,0.37514
169,225,-5.25,-67.25,pftnclim,nclim,2.45428,24.808954,2.551638,0.337087,0.276413,0.382221
169,226,-5.25,-66.75,pftnclim,nclim,2.43926,25.260593,2.524353,0.336412,0.283451,0.375596
169,227,-5.25,-66.25,pftnclim,nclim,2.438508,25.233856,2.523549,0.336442,0.283147,0.375771
169,228,-5.25,-65.75,pftnclim,nclim,2.438424,25.205687,2.52338,0.33645,0.282822,0.375992
169,229,-5.25,-65.25,pftnclim,nclim,2.440441,25.190409,2.525305,0.336396,0.282619,0.376223
169,230,-5.25,-64.75,pftnclim,nclim,2.439003,25.254887,2.523844,0.336407,0.283413,0.37559
169,231,-5.25,-64.25,pftnclim,nclim,2.438641,25.295637,2.523527,0.336398,0.283903,0.37523
169,232,-5.25,-63.75,pftnclim,nclim,2.437408,25.33495,2.522169,0.336411,0.284403,0.374808
169,233,-5.25,-63.25,pftnclim,nclim,2.436068,25.3516,2.520506,0.336442,0.284643,0.374547
169,234,-5.25,-62.75,pftnclim,nclim,2.436521,25.328613,2.52097,0.336434,0.284364,0.374767
169,235,-5.25,-62.25,pftnclim,nclim,2.437935,25.270199,2.522141,0.336405,0.283671,0.375307
169,236,-5.25,-61.75,pftnclim,nclim,2.438681,25.237272,2.522855,0.33639,0.283274,0.375622
169,237,-5.25,-61.25,pftnclim,nclim,2.443018,25.168364,2.527947,0.336309,0.282329,0.376558
169,238,-5.25,-60.75,pftnclim,nclim,2.446078,25.14821,2.531701,0.336251,0.281985,0.377003
169,239,-5.25,-60.25,pftnclim,nclim,2.442362,25.207243,2.527685,0.336311,0.282777,0.376244
169,240,-5.25,-59.75,pftnclim,nclim,2.436139,25.310635,2.520229,0.336441,0.284186,0.374847
169,241,-5.25,-59.25,pftnclim,nclim,2.434755,25.342916,2.518891,0.336474,0.284584,0.374502
169,242,-5.25,-58.75,pftnclim,nclim,2.434472,25.35465,2.518687,0.336481,0.28472,0.374398
169,243,-5.25,-58.25,pftnclim,nclim,2.434705,25.357265,2.519041,0.336478,0.284737,0.374407
169,244,-5.25,-57.75,pftnclim,nclim,2.434609,25.352654,2.519031,0.336485,0.284676,0.374453
169,245,-5.25,-57.25,pftnclim,nclim,2.43754,25.312181,2.522658,0.336412,0.284108,0.375054
169,246,-5.25,-56.75,pftnclim,nclim,2.453739,24.845577,2.549442,0.336876,0.27711,0.381588
169,247,-5.25,-56.25,pftnclim,nclim,2.440116,25.261395,2.525828,0.336343,0.283436,0.375705
169,248,-5.25,-55.75,pftnclim,nclim,2.439657,25.263186,2.52531,0.336353,0.283469,0.375655
169,249,-5.25,-55.25,pftnclim,nclim,2.439879,25.261719,2.5256,0.336349,0.283443,0.37569
169,250,-5.25,-54.75,pftnclim,nclim,2.457566,24.799202,2.555195,0.336999,0.276231,0.382528
169,251,-5.25,-54.25,pftnclim,nclim,2.441288,25.321632,2.526515,0.33632,0.284147,0.375209
169,252,-5.25,-53.75,pftnclim,nclim,2.439948,25.325155,2.525055,0.336354,0.284219,0.375086
169,253,-5.25,-53.25,pftnclim,nclim,2.439463,25.338118,2.524427,0.336365,0.284388,0.37493
170,215,-4.75,-72.25,pftnclim,nclim,2.436955,25.228619,2.521805,0.336478,0.283127,0.375698
170,216,-4.75,-71.75,pftnclim,nclim,2.436897,25.236391,2.521811,0.33648,0.283214,0.375638
170,217,-4.75,-71.25,pftnclim,nclim,2.436712,25.281929,2.521639,0.336468,0.283758,0.375244
170,218,-4.75,-70.75,pftnclim,nclim,2.451582,24.864202,2.547668,0.337032,0.277269,0.381392
170,219,-4.75,-70.25,pftnclim,nclim,2.453134,24.84728,2.550354,0.337092,0.276904,0.381808
170,220,-4.75,-69.75,pftnclim,nclim,2.453264,24.880976,2.550506,0.337083,0.277298,0.381536
170,221,-4.75,-69.25,pftnclim,nclim,2.455384,24.834768,2.553929,0.337143,0.276561,0.382256
170,222,-4.75,-68.75,pftnclim,nclim,2.452895,24.87714,2.550118,0.337093,0.27726,0.381544
170,223,-4.75,-68.25,pftnclim,nclim,2.454908,24.824484,2.553406,0.337157,0.276451,0.382308
170,224,-4.75,-67.75,pftnclim,nclim,2.455092,24.836946,2.553631,0.337152,0.276591,0.382221
170,225,-4.75,-67.25,pftnclim,nclim,2.456321,24.848503,2.554938,0.337123,0.276699,0.382207
170,226,-4.75,-66.75,pftnclim,nclim,2.438044,25.306652,2.52315,0.336416,0.284025,0.375134
170,227,-4.75,-66.25,pftnclim,nclim,2.436821,25.250134,2.521779,0.336477,0.283375,0.375524
170,228,-4.75,-65.75,pftnclim,nclim,2.438597,25.206888,2.523563,0.336447,0.282832,0.375994
170,229,-4.75,-65.25,pftnclim,nclim,2.439054,25.1842,2.523992,0.33644,0.282558,0.376207
170,230,-4.75,-64.75,pftnclim,nclim,2.439677,25.207062,2.524556,0.33641,0.282828,0.37604
170,231,-4.75,-64.25,pftnclim,nclim,2.436996,25.31874,2.521259,0.336425,0.284251,0.374854
170,232,-4.75,-63.75,pftnclim,nclim,2.436194,25.356434,2.520532,0.33644,0.284703,0.374501
170,233,-4.75,-63.25,pftnclim,nclim,2.435848,25.35464,2.520166,0.336449,0.284689,0.374493
170,234,-4.75,-62.75,pftnclim,nclim,2.436112,25.337917,2.520378,0.336444,0.284492,0.374641
170,235,-4.75,-62.25,pftnclim,nclim,2.436222,25.31629,2.520411,0.336443,0.284241,0.374819
170,236,-4.75,-61.75,pftnclim,nclim,2.437373,25.27574,2.521545,0.336418,0.283747,0.375223
170,237,-4.75,-61.25,pftnclim,nclim,2.442415,25.216198,2.527604,0.336322,0.282881,0.376159
170,238,-4.75,-60.75,pftnclim,nclim,2.458129,24.715769,2.55472,0.336933,0.275352,0.3831
170,239,-4.75,-60.25,pftnclim,nclim,2.464051,24.613438,2.564528,0.337127,0.273572,0.384931
170,240,-4.75,-59.75,pftnclim,nclim,2.435933,25.307941,2.520109,0.336449,0.284151,0.374869
170,241,-4.75,-59.25,pftnclim,nclim,2.4352,25.331543,2.519338,0.336462,0.284444,0.374623
170,242,-4.75,-58.75,pftnclim,nclim,2.434836,25.339851,2.519127,0.336475,0.284534,0.374554
170,243,-4.75,-58.25,pftnclim,nclim,2.434964,25.351786,2.519336,0.336474,0.284665,0.374474
170,244,-4.75,-57.75,pftnclim,nclim,2.435231,25.351805,2.519733,0.336468,0.284651,0.374507
170,245,-4.75,-57.25,pftnclim,nclim,2.436408,25.33422,2.521217,0.33644,0.284405,0.374763
170,246,-4.75,-56.75,pftnclim,nclim,2.436997,25.319986,2.521956,0.336427,0.284218,0.374937
170,247,-4.75,-56.25,pftnclim,nclim,2.438692,25.29893,2.5241,0.33638,0.283917,0.375269
170,248,-4.75,-55.75,pftnclim,nclim,2.458644,24.759945,2.557503,0.33708,0.275601,0.383118
170,249,-4.75,-55.25,pftnclim,nclim,2.454055,24.840813,2.55047,0.336969,0.276934,0.381775
170,250,-4.75,-54.75,pftnclim,nclim,2.455719,24.818077,2.553131,0.337037,0.276502,0.382231
170,251,-4.75,-54.25,pftnclim,nclim,2.455571,24.794125,2.55312,0.337041,0.276215,0.38244
170,252,-4.75,-53.75,pftnclim,nclim,2.457391,24.7597,2.556115,0.337109,0.275629,0.383028
170,253,-4.75,-53.25,pftnclim,nclim,2.456888,24.76247,2.555623,0.33712,0.27567,0.382977
170,254,-4.75,-52.75,pftnclim,nclim,2.456317,24.758179,2.555052,0.337134,0.27563,0.382979
170,255,-4.75,-52.25,pftnclim,nclim,2.454239,24.802967,2.551665,0.337071,0.276351,0.382272
171,213,-4.25,-73.25,pftnclim,nclim,2.435764,25.313284,2.52037,0.336464,0.28418,0.374876
171,214,-4.25,-72.75,pftnclim,nclim,2.437004,25.268623,2.521828,0.33646,0.283605,0.375358
