ny,nx,lat,lon,approach,clima,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
165,237,-7.25,-61.25,pftnclim,nclim,3066355000,0.658245,1.016272,0.36247,69.12769,5.300771,0.140443,5.742847,0.387997,0.498853,4.855998,3,20,3,0.35,0.2,0.45
165,238,-7.25,-60.75,pftnclim,nclim,3066355000,3.935383,2.925863,1.44152,78.26186,4.956631,0.289347,14.757634,1.188721,1.395402,12.173511,2.457234,24.969189,2.55074,0.336434,0.278876,0.380351
165,239,-7.25,-60.25,pftnclim,nclim,3066355000,5.399728,3.564632,1.835095,75.12646,4.811337,0.328913,16.987612,1.44377,1.631653,13.912187,2.434941,25.354025,2.519239,0.33647,0.284699,0.374442
165,240,-7.25,-59.75,pftnclim,nclim,3066355000,5.37415,3.541896,1.832255,71.73278,4.739299,0.329663,17.028187,1.440796,1.628056,13.959334,2.43488,25.36065,2.519155,0.336469,0.28478,0.37438
165,241,-7.25,-59.25,pftnclim,nclim,3066355000,5.292699,3.491546,1.801153,75.22294,4.690231,0.328915,16.797363,1.415584,1.599578,13.7822,2.434987,25.363728,2.519312,0.336467,0.284811,0.374367
165,242,-7.25,-58.75,pftnclim,nclim,3066355000,5.276353,3.507779,1.768574,84.00906,4.813095,0.324083,16.363407,1.38882,1.569514,13.405072,2.434668,25.35487,2.519007,0.336477,0.284711,0.374425
165,243,-7.25,-58.25,pftnclim,nclim,3066355000,5.44699,3.625969,1.821021,88.79492,5.097258,0.32453,16.65636,1.43048,1.62007,13.605809,2.435561,25.327469,2.520093,0.336456,0.284362,0.374732
166,225,-6.75,-67.25,pftnclim,nclim,3069642200,3.001153,2.542299,1.22544,106.78315,4.758443,0.271817,11.221688,1.051984,1.196516,8.973188,2.437717,25.146503,2.523055,0.33651,0.282089,0.376509
166,226,-6.75,-66.75,pftnclim,nclim,3069642200,3.306455,2.742995,1.372798,96.102356,5.009411,0.282029,12.643411,1.171182,1.332585,10.139643,2.438668,25.164875,2.523957,0.336475,0.282299,0.376401
166,227,-6.75,-66.25,pftnclim,nclim,3069642200,3.775246,2.969798,1.637041,79.90479,5.080602,0.301207,14.78764,1.385254,1.580168,11.822216,2.440876,25.14735,2.526079,0.336414,0.282067,0.376662
166,228,-6.75,-65.75,pftnclim,nclim,3069642200,3.841108,3.063345,1.643944,78.211876,5.20913,0.292241,14.714661,1.389938,1.586229,11.738493,2.440948,25.13593,2.526162,0.336412,0.281932,0.376763
166,229,-6.75,-65.25,pftnclim,nclim,3069642200,4.18317,3.220495,1.743935,74.115974,5.289132,0.300486,15.670543,1.454231,1.658684,12.557628,2.440914,25.16894,2.52602,0.336394,0.282337,0.376465
166,230,-6.75,-64.75,pftnclim,nclim,3069642200,4.416363,3.329273,1.710911,78.46751,5.336997,0.302758,15.547639,1.402351,1.595526,12.549763,2.439014,25.223179,2.524018,0.33642,0.283023,0.375882
166,231,-6.75,-64.25,pftnclim,nclim,3069642200,4.544543,3.341533,1.774703,79.76434,5.288409,0.313136,16.20251,1.446621,1.646281,13.109609,2.439519,25.236813,2.524506,0.3364,0.28318,0.375793
166,232,-6.75,-63.75,pftnclim,nclim,3069642200,3.906428,3.074102,1.612466,87.015816,5.30019,0.291091,14.553985,1.346925,1.535596,11.671464,2.440498,25.171804,2.525668,0.336406,0.282373,0.376426
166,233,-6.75,-63.25,pftnclim,nclim,3069642200,3.78566,3.044593,1.587804,92.630775,5.360397,0.28572,14.278,1.333584,1.520921,11.423495,2.440615,25.156359,2.525817,0.336408,0.282185,0.376568
166,234,-6.75,-62.75,pftnclim,nclim,3069642200,4.106024,3.174211,1.681095,88.19338,5.349953,0.293958,15.126604,1.400824,1.596758,12.129021,2.440405,25.175377,2.525494,0.336403,0.282425,0.376378
166,235,-6.75,-62.25,pftnclim,nclim,3069642200,3.81011,3.108713,1.605812,86.41192,5.434045,0.280002,14.813326,1.356769,1.552993,11.903564,2.443573,25.149345,2.529383,0.336322,0.282021,0.376876
166,236,-6.75,-61.75,pftnclim,nclim,3069642200,1.556908,1.901421,0.806464,84.098915,5.455596,0.181758,9.254272,0.732193,0.952717,7.569364,2.694393,23.281656,2.821753,0.328503,0.254314,0.412095
166,237,-6.75,-61.25,pftnclim,nclim,3069642200,3.124413,2.576165,1.222431,81.88473,5.284555,0.25433,13.141504,1.049485,1.25603,10.835989,2.467986,24.969568,2.559747,0.335645,0.279165,0.380569
166,238,-6.75,-60.75,pftnclim,nclim,3069642200,5.627778,3.720668,1.90711,76.9052,5.112934,0.32984,17.390652,1.501326,1.698228,14.1911,2.435185,25.331514,2.519508,0.336468,0.284428,0.374649
166,239,-6.75,-60.25,pftnclim,nclim,3069642200,5.470052,3.614326,1.855726,75.25309,4.906624,0.329372,17.14107,1.461043,1.650903,14.029125,2.43452,25.353407,2.518734,0.33648,0.284705,0.374411
166,240,-6.75,-59.75,pftnclim,nclim,3069642200,5.358269,3.539529,1.81874,73.46789,4.750615,0.329167,16.909153,1.433437,1.619329,13.856385,2.434528,25.359344,2.518769,0.33648,0.284772,0.374366
166,241,-6.75,-59.25,pftnclim,nclim,3069642200,5.276812,3.481232,1.795581,72.38154,4.644317,0.32938,16.765242,1.415411,1.599189,13.750644,2.43492,25.360825,2.519253,0.336471,0.284776,0.374389
166,242,-6.75,-58.75,pftnclim,nclim,3069642200,5.156932,3.417186,1.739745,77.98449,4.591455,0.32609,16.27769,1.371712,1.549596,13.356381,2.434813,25.36188,2.519185,0.336475,0.284786,0.37438
166,243,-6.75,-58.25,pftnclim,nclim,3069642200,5.144162,3.423313,1.720849,85.92431,4.678506,0.323157,16.040625,1.357528,1.533353,13.149742,2.434445,25.358078,2.518796,0.336485,0.284749,0.374388
166,244,-6.75,-57.75,pftnclim,nclim,3069642200,3.559868,2.74765,1.342413,91.42914,4.938932,0.270169,13.936008,1.079329,1.258265,11.598414,2.454776,25.117365,2.545984,0.336352,0.280895,0.378619
167,222,-6.25,-68.75,pftnclim,nclim,3072695800,3.359575,2.575485,1.262699,101.79013,4.253519,0.285661,11.933485,1.053411,1.194824,9.685249,2.437099,25.247446,2.522257,0.336484,0.283317,0.375594
167,223,-6.25,-68.25,pftnclim,nclim,3072695800,3.228802,2.526469,1.225535,105.921,4.303837,0.281224,11.510128,1.030523,1.169243,9.310362,2.437033,25.22541,2.52222,0.336495,0.283053,0.37578
167,224,-6.25,-67.75,pftnclim,nclim,3072695800,3.225231,2.548702,1.230529,103.54717,4.361152,0.278413,11.501245,1.038693,1.178861,9.28369,2.437025,25.211771,2.522228,0.336501,0.282889,0.375897
167,225,-6.25,-67.25,pftnclim,nclim,3072695800,3.309574,2.617797,1.274244,102.3219,4.508602,0.279675,11.955154,1.076684,1.222191,9.656281,2.437363,25.213924,2.522576,0.336491,0.282909,0.3759
167,226,-6.25,-66.75,pftnclim,nclim,3072695800,3.752676,2.87582,1.522527,89.65876,4.797976,0.300276,14.345368,1.275458,1.44988,11.620032,2.439306,25.229267,2.524468,0.336429,0.283068,0.375875
167,227,-6.25,-66.25,pftnclim,nclim,3072695800,4.297242,3.114392,1.777138,77.301254,4.906137,0.321199,16.341148,1.471883,1.676344,13.192924,2.440658,25.215479,2.525668,0.336387,0.2829,0.376045
167,228,-6.25,-65.75,pftnclim,nclim,3072695800,4.582277,3.258475,1.93147,67.51193,4.968166,0.329176,17.127289,1.596956,1.822186,13.708146,2.441449,25.171278,2.526304,0.336372,0.282378,0.376441
167,229,-6.25,-65.25,pftnclim,nclim,3072695800,5.059782,3.471395,2.102526,61.057728,5.022557,0.346126,18.547028,1.705532,1.946225,14.89527,2.441726,25.199612,2.526429,0.336344,0.282728,0.376193
167,230,-6.25,-64.75,pftnclim,nclim,3072695800,4.901931,3.498936,1.821087,74.360176,5.215226,0.318204,16.775202,1.464126,1.662422,13.648652,2.438134,25.283226,2.522917,0.336417,0.28377,0.375292
167,231,-6.25,-64.25,pftnclim,nclim,3072695800,4.849758,3.443609,1.803266,78.53426,5.160371,0.319892,16.749344,1.447378,1.643399,13.658566,2.438373,25.294155,2.523202,0.336408,0.283892,0.37522
167,232,-6.25,-63.75,pftnclim,nclim,3072695800,4.468441,3.261082,1.734568,83.676476,5.081921,0.315664,15.966331,1.409428,1.602578,12.954325,2.439088,25.255615,2.524043,0.336406,0.283411,0.375605
167,233,-6.25,-63.25,pftnclim,nclim,3072695800,4.281163,3.197776,1.706562,88.23831,5.203133,0.307514,15.442279,1.402915,1.597288,12.442075,2.439499,25.209908,2.524521,0.336413,0.282856,0.376025
167,234,-6.25,-62.75,pftnclim,nclim,3072695800,4.568242,3.335706,1.789141,86.19754,5.266108,0.314609,16.19217,1.460259,1.661549,13.070362,2.439173,25.22704,2.524082,0.336412,0.283074,0.375845
167,235,-6.25,-62.25,pftnclim,nclim,3072695800,4.933071,3.493998,1.891658,80.56314,5.350271,0.32009,17.382767,1.534878,1.746641,14.101248,2.439846,25.253122,2.524797,0.336382,0.283373,0.375668
167,236,-6.25,-61.75,pftnclim,nclim,3072695800,6.009642,3.920933,2.08871,77.303856,5.448467,0.340989,18.788157,1.646197,1.865185,15.276775,2.436236,25.30788,2.520559,0.336443,0.284134,0.374907
167,237,-6.25,-61.25,pftnclim,nclim,3072695800,5.992428,3.915254,2.077174,74.207344,5.403139,0.339519,18.70349,1.635765,1.85145,15.216274,2.435609,25.317429,2.519807,0.336459,0.284264,0.374775
167,238,-6.25,-60.75,pftnclim,nclim,3072695800,6.011918,3.877018,2.134901,68.01636,5.167506,0.347426,19.191393,1.682225,1.905362,15.603806,2.436206,25.312414,2.520395,0.336443,0.284197,0.37485
167,239,-6.25,-60.25,pftnclim,nclim,3072695800,5.694236,3.746394,1.947842,71.77848,5.077418,0.333792,17.818989,1.532923,1.733264,14.552801,2.434833,25.340982,2.519024,0.336473,0.284556,0.37453
