lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-6.75,-58.75,nclim_pft,nclim,pft,2.398615,28.103745,2.398615,0.33006924,0.327877,0.3357329
-6.75,-58.25,nclim_pft,nclim,pft,2.398207,28.097664,2.398207,0.33008957,0.3278061,0.33576313
-6.75,-57.75,nclim_pft,nclim,pft,2.423283,28.061981,2.423283,0.3288359,0.3273898,0.33731434
-6.25,-68.75,nclim_pft,nclim,pft,2.401785,27.980427,2.401785,0.32991077,0.32643833,0.33691906
-6.25,-68.25,nclim_pft,nclim,pft,2.401706,27.954615,2.401706,0.32991474,0.32613716,0.33713017
-6.25,-67.75,nclim_pft,nclim,pft,2.401714,27.939026,2.401714,0.32991432,0.3259553,0.3372605
-6.25,-67.25,nclim_pft,nclim,pft,2.402124,27.942116,2.402124,0.3298938,0.32599133,0.33725525
-6.25,-66.75,nclim_pft,nclim,pft,2.404585,27.968288,2.404585,0.32977074,0.3262967,0.33716022
-6.25,-66.25,nclim_pft,nclim,pft,2.406429,27.961992,2.406429,0.32967854,0.32622326,0.33730484
-6.25,-65.75,nclim_pft,nclim,pft,2.407536,27.9193,2.407536,0.32962322,0.32572517,0.3377159
-6.25,-65.25,nclim_pft,nclim,pft,2.407936,27.95495,2.407936,0.3296032,0.3261411,0.3374389
-6.25,-64.75,nclim_pft,nclim,pft,2.403301,28.031094,2.403301,0.329835,0.3270294,0.3365726
-6.25,-64.25,nclim_pft,nclim,pft,2.403611,28.044249,2.403611,0.32981945,0.32718292,0.33647854
-6.25,-63.75,nclim_pft,nclim,pft,2.404588,28.003994,2.404588,0.3297706,0.32671326,0.33686275
-6.25,-63.25,nclim_pft,nclim,pft,2.4052,27.954916,2.4052,0.32974,0.32614067,0.3373024
-6.25,-62.75,nclim_pft,nclim,pft,2.404738,27.97289,2.404738,0.32976307,0.3263504,0.33712948
-6.25,-62.25,nclim_pft,nclim,pft,2.405622,28.00404,2.405622,0.3297189,0.3267138,0.3369141
-6.25,-61.75,nclim_pft,nclim,pft,2.400757,28.052471,2.400757,0.32996212,0.32727882,0.33626724
-6.25,-61.25,nclim_pft,nclim,pft,2.399783,28.059608,2.399783,0.33001087,0.3273621,0.33615902
-6.25,-60.75,nclim_pft,nclim,pft,2.400581,28.056076,2.400581,0.32997093,0.3273209,0.3362284
-6.25,-60.25,nclim_pft,nclim,pft,2.398921,28.079662,2.398921,0.33005398,0.32759605,0.33594883
-6.25,-59.75,nclim_pft,nclim,pft,2.398497,28.090248,2.398497,0.33007515,0.32771957,0.33583942
-6.25,-59.25,nclim_pft,nclim,pft,2.398698,28.097034,2.398698,0.33006508,0.32779873,0.33579296
-6.25,-58.75,nclim_pft,nclim,pft,2.398564,28.103462,2.398564,0.3300718,0.32787373,0.33573265
-6.25,-58.25,nclim_pft,nclim,pft,2.398489,28.103485,2.398489,0.3300755,0.327874,0.33572876
-6.25,-57.75,nclim_pft,nclim,pft,2.405141,28.052061,2.405141,0.32974293,0.32727406,0.3364899
-6.25,-57.25,nclim_pft,nclim,pft,2.43008,28.047178,2.43008,0.328496,0.3272171,0.33777752
-5.75,-69.75,nclim_pft,nclim,pft,2.401932,28.001755,2.401932,0.3299034,0.32668716,0.33674866
-5.75,-69.25,nclim_pft,nclim,pft,2.401824,28.033237,2.401824,0.3299088,0.32705444,0.3364809
-5.75,-68.75,nclim_pft,nclim,pft,2.401626,28.0371,2.401626,0.32991867,0.3270995,0.3364388
-5.75,-68.25,nclim_pft,nclim,pft,2.401211,28.004263,2.401211,0.32993942,0.3267164,0.33669167
-5.75,-67.75,nclim_pft,nclim,pft,2.400932,27.98098,2.400932,0.32995342,0.32644478,0.33687172
-5.75,-67.25,nclim_pft,nclim,pft,2.402115,28.009758,2.402115,0.32989426,0.3267805,0.3366911
-5.75,-66.75,nclim_pft,nclim,pft,2.404857,28.001097,2.404857,0.32975716,0.32667946,0.33690033
-5.75,-66.25,nclim_pft,nclim,pft,2.407621,27.936623,2.407621,0.32961895,0.32592728,0.33757584
-5.75,-65.75,nclim_pft,nclim,pft,2.406395,27.928455,2.406395,0.3296802,0.325832,0.33758266
-5.75,-65.25,nclim_pft,nclim,pft,2.407658,27.953339,2.407658,0.32961708,0.3261223,0.3374384
-5.75,-64.75,nclim_pft,nclim,pft,2.404919,28.036121,2.404919,0.32975403,0.3270881,0.33661156
-5.75,-64.25,nclim_pft,nclim,pft,2.403964,28.052155,2.403964,0.32980183,0.32727512,0.33643024
-5.75,-63.75,nclim_pft,nclim,pft,2.405297,28.051966,2.405297,0.32973515,0.32727295,0.33649845
-5.75,-63.25,nclim_pft,nclim,pft,2.404606,28.064945,2.404606,0.32976963,0.32742435,0.33635574
-5.75,-62.75,nclim_pft,nclim,pft,2.406016,28.035774,2.406016,0.3296992,0.32708405,0.3366693
-5.75,-62.25,nclim_pft,nclim,pft,2.406518,28.013714,2.406518,0.3296741,0.32682667,0.33687828
-5.75,-61.75,nclim_pft,nclim,pft,2.405632,27.962395,2.405632,0.32971836,0.32622795,0.33726166
-5.75,-61.25,nclim_pft,nclim,pft,2.404059,27.982979,2.404059,0.32979702,0.32646805,0.33701145
-5.75,-60.75,nclim_pft,nclim,pft,2.401551,28.037086,2.401551,0.32992245,0.32709934,0.33643517
-5.75,-60.25,nclim_pft,nclim,pft,2.401001,28.046963,2.401001,0.32995,0.3272146,0.33632534
-5.75,-59.75,nclim_pft,nclim,pft,2.399004,28.07714,2.399004,0.3300498,0.32756664,0.335974
-5.75,-59.25,nclim_pft,nclim,pft,2.398333,28.086811,2.398333,0.3300833,0.32767944,0.33585987
-5.75,-58.75,nclim_pft,nclim,pft,2.39859,28.10057,2.39859,0.33007053,0.32784,0.3357581
-5.75,-58.25,nclim_pft,nclim,pft,2.398555,28.104744,2.398555,0.3300723,0.32788868,0.3357216
-5.75,-57.75,nclim_pft,nclim,pft,2.398975,28.085436,2.398975,0.33005127,0.32766342,0.33590343
-5.75,-57.25,nclim_pft,nclim,pft,2.431814,27.956478,2.431814,0.3284093,0.3261589,0.33862007
-5.75,-56.75,nclim_pft,nclim,pft,2.423876,28.040222,2.423876,0.32880615,0.32713593,0.3375253
-5.75,-56.25,nclim_pft,nclim,pft,2.438905,28.099909,2.438905,0.32805473,0.32783226,0.3377793
-5.75,-55.75,nclim_pft,nclim,pft,2.417266,27.958649,2.417266,0.3291367,0.32618423,0.33787457
-5.75,-55.25,nclim_pft,nclim,pft,2.420572,27.959253,2.420572,0.3289714,0.3261913,0.33803486
-5.75,-54.75,nclim_pft,nclim,pft,2.411662,28.056843,2.411662,0.3294169,0.32732983,0.3367761
-5.75,-54.25,nclim_pft,nclim,pft,2.408432,28.086182,2.408432,0.32957844,0.32767212,0.33637005
-5.75,-53.75,nclim_pft,nclim,pft,2.407978,28.092592,2.407978,0.32960114,0.32774693,0.33629395
-5.25,-71.25,nclim_pft,nclim,pft,2.40154,27.978958,2.40154,0.32992294,0.32642117,0.33691902
-5.25,-70.75,nclim_pft,nclim,pft,2.401229,28.038792,2.401229,0.3299385,0.3271192,0.33640488
-5.25,-70.25,nclim_pft,nclim,pft,2.401678,28.066666,2.401678,0.3299161,0.32744442,0.336195
-5.25,-69.75,nclim_pft,nclim,pft,2.401912,28.071533,2.401912,0.3299044,0.32750122,0.3361661
-5.25,-69.25,nclim_pft,nclim,pft,2.400734,28.102211,2.400734,0.3299633,0.3278591,0.3358516
-5.25,-68.75,nclim_pft,nclim,pft,2.399726,28.102026,2.399726,0.33001373,0.32785698,0.33580276
-5.25,-68.25,nclim_pft,nclim,pft,2.400507,28.051954,2.400507,0.3299747,0.3272728,0.3362591
-5.25,-67.75,nclim_pft,nclim,pft,2.400363,28.026249,2.400363,0.32998184,0.32697292,0.33646606
-5.25,-67.25,nclim_pft,nclim,pft,2.402863,28.050846,2.402863,0.3298568,0.32725986,0.33638607
-5.25,-66.75,nclim_pft,nclim,pft,2.404603,28.005825,2.404603,0.32976986,0.32673462,0.33684826
-5.25,-66.25,nclim_pft,nclim,pft,2.403638,27.971203,2.403638,0.3298181,0.32633068,0.33708855
-5.25,-65.75,nclim_pft,nclim,pft,2.40361,27.940819,2.40361,0.32981953,0.32597622,0.3373403
-5.25,-65.25,nclim_pft,nclim,pft,2.406181,27.934813,2.406181,0.32969093,0.32590614,0.33751892
-5.25,-64.75,nclim_pft,nclim,pft,2.404412,28.002117,2.404412,0.3297794,0.32669136,0.33686954
-5.25,-64.25,nclim_pft,nclim,pft,2.40405,28.046959,2.40405,0.32979755,0.3272145,0.3364779
-5.25,-63.75,nclim_pft,nclim,pft,2.402485,28.086906,2.402485,0.32987576,0.32768055,0.3360667
-5.25,-63.25,nclim_pft,nclim,pft,2.400402,28.09905,2.400402,0.3299799,0.32782227,0.33586136
-5.25,-62.75,nclim_pft,nclim,pft,2.401123,28.075638,2.401123,0.32994385,0.3275491,0.3360925
-5.25,-62.25,nclim_pft,nclim,pft,2.402987,28.019062,2.402987,0.32985065,0.32688908,0.33665714
-5.25,-61.75,nclim_pft,nclim,pft,2.404077,27.986944,2.404077,0.32979614,0.32651436,0.33697926
-5.25,-61.25,nclim_pft,nclim,pft,2.41011,27.92642,2.41011,0.3294945,0.32580826,0.33778534
-5.25,-60.75,nclim_pft,nclim,pft,2.414362,27.907772,2.414362,0.3292819,0.32559067,0.33815334
-5.25,-60.25,nclim_pft,nclim,pft,2.409788,27.964972,2.409788,0.32951057,0.326258,0.33744797
-5.25,-59.75,nclim_pft,nclim,pft,2.400652,28.052246,2.400652,0.32996735,0.32727623,0.3362639
-5.25,-59.25,nclim_pft,nclim,pft,2.398849,28.08112,2.398849,0.3300576,0.32761307,0.3359331
-5.25,-58.75,nclim_pft,nclim,pft,2.398394,28.092747,2.398394,0.3300803,0.3277487,0.3358135
-5.25,-58.25,nclim_pft,nclim,pft,2.398535,28.097713,2.398535,0.33007324,0.32780663,0.3357791
-5.25,-57.75,nclim_pft,nclim,pft,2.398381,28.09211,2.398381,0.330081,0.32774128,0.3358182
-5.25,-57.25,nclim_pft,nclim,pft,2.40302,28.061771,2.40302,0.32984898,0.32738735,0.3363029
-5.25,-56.75,nclim_pft,nclim,pft,2.411107,28.008492,2.411107,0.32944466,0.3267657,0.33715126
-5.25,-56.25,nclim_pft,nclim,pft,2.407368,28.018927,2.407368,0.32963158,0.32688747,0.33687733
-5.25,-55.75,nclim_pft,nclim,pft,2.406818,28.019098,2.406818,0.32965908,0.32688946,0.3368484
-5.25,-55.25,nclim_pft,nclim,pft,2.407128,28.020332,2.407128,0.3296436,0.32690388,0.3368536
-5.25,-54.75,nclim_pft,nclim,pft,2.410549,28.075916,2.410549,0.32947254,0.32755238,0.33656147
