lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
1.25,-78.25,lowprec_pls,lowprec,pls,3.60746502876282,27.6353435516357,2.63191604614258,0.401089996099472,0.28404301404953,0.314868003129959
0.75,-77.75,lowprec_pls,lowprec,pls,2.17395548820496,25.9287250518799,2.082770216465,0.32559429705143,0.360988402366638,0.313417500257492
1.25,-77.75,lowprec_pls,lowprec,pls,2.13779242038727,26.0712482452393,2.04153578281403,0.327948603034019,0.360711398720741,0.311340400576592
1.75,-77.75,lowprec_pls,lowprec,pls,2.13640681505203,26.0281139373779,2.07052359580994,0.326875901222229,0.360317403078079,0.312806499004364
2.25,-77.75,lowprec_pls,lowprec,pls,2.97392330169678,14.6858791351318,3.35992197990417,0.336304098367691,0.244861097633839,0.41883479654789
4.25,-77.75,lowprec_pls,lowprec,pls,4.5100359916687,23.0235805511475,3.58408188819885,0.445811986923218,0.25329801440239,0.300891011953354
-0.25,-77.25,lowprec_pls,lowprec,pls,3.85343251228333,21.7686325073242,4.38271741867065,0.27007309794426,0.24734990298748,0.482576897740364
0.25,-77.25,lowprec_pls,lowprec,pls,2.21072990894318,25.7769508361816,2.24995739459991,0.322260698676109,0.358843502402306,0.318895998597145
0.75,-77.25,lowprec_pls,lowprec,pls,2.15333318710327,26.0802003860474,2.0821004986763,0.328274899721146,0.35864030122757,0.313084799051285
1.25,-77.25,lowprec_pls,lowprec,pls,2.14439768791199,26.1454620361328,2.04700918197632,0.330316001176834,0.358354699611664,0.311329400539398
1.75,-77.25,lowprec_pls,lowprec,pls,2.14365420341492,26.1124513626099,2.05757150650024,0.329712703824043,0.358369797468185,0.311917597055435
2.25,-77.25,lowprec_pls,lowprec,pls,2.16924970149994,25.9699691772461,2.14640560150146,0.326137199997902,0.358345198631287,0.315517801046371
2.75,-77.25,lowprec_pls,lowprec,pls,4.47391679286957,10.1534197926521,4.95017204284668,0.291259701550007,0.116524402052164,0.592215901613235
3.25,-77.25,lowprec_pls,lowprec,pls,3.03783702850342,14.3338516354561,4.59905755519867,0.368635505437851,0.214855499565601,0.416508004069328
-1.25,-76.75,lowprec_pls,lowprec,pls,2.24929332733154,25.7908334732056,2.15364518165588,0.32935239970684,0.35540089905262,0.315246897935867
-0.75,-76.75,lowprec_pls,lowprec,pls,2.17200679779053,26.0965549468994,2.06745771169662,0.327207598090172,0.36037800014019,0.312414199113846
-0.25,-76.75,lowprec_pls,lowprec,pls,2.17107629776001,26.0530431747437,2.10934810638428,0.327918496727943,0.358248099684715,0.313833895325661
0.25,-76.75,lowprec_pls,lowprec,pls,2.18216485977173,26.0256036758423,2.12848379611969,0.328560701012611,0.357287302613258,0.314152103662491
0.75,-76.75,lowprec_pls,lowprec,pls,2.1880274772644,26.0089315414429,2.1569121837616,0.327766701579094,0.357039597630501,0.315193700790405
1.25,-76.75,lowprec_pls,lowprec,pls,2.17615048885345,26.0522560119629,2.11211218833923,0.329186001420021,0.35735929608345,0.313454800844193
1.75,-76.75,lowprec_pls,lowprec,pls,2.17514662742615,26.0600542068481,2.10046412944794,0.329393696784973,0.357513692975044,0.313092502951622
2.25,-76.75,lowprec_pls,lowprec,pls,2.18457932472229,26.0261766433716,2.14177730083466,0.327906203269959,0.35751159787178,0.314582601189613
2.75,-76.75,lowprec_pls,lowprec,pls,2.71044807434082,13.9016002655029,2.91686460971832,0.342313197255135,0.280311796069145,0.377374902367592
-1.25,-76.25,lowprec_pls,lowprec,pls,2.1582665681839,26.1054935455322,2.05677032470703,0.326912000775337,0.3612399995327,0.311848098039627
-0.75,-76.25,lowprec_pls,lowprec,pls,2.16325047016144,26.1300029754639,2.06537028551102,0.329899099469185,0.357963299751282,0.312137398123741
-0.25,-76.25,lowprec_pls,lowprec,pls,2.18322308063507,25.9988712310791,2.13956792354584,0.327081000804901,0.357797205448151,0.315121799707413
0.25,-76.25,lowprec_pls,lowprec,pls,2.19874920845032,26.0249780654907,2.15955417156219,0.32703769505024,0.357413995265961,0.315548303723335
0.75,-76.25,lowprec_pls,lowprec,pls,2.23317465782166,25.8764801025391,2.23052754402161,0.325527596473694,0.356545394659042,0.317927098274231
1.25,-76.25,lowprec_pls,lowprec,pls,2.23562469482422,25.8768758773804,2.22943942546844,0.325543901324272,0.356531101465225,0.31792519390583
1.75,-76.25,lowprec_pls,lowprec,pls,2.21401970386505,26.0040481567383,2.18615303039551,0.327771097421646,0.356222105026245,0.316007000207901
2.25,-76.25,lowprec_pls,lowprec,pls,2.2040248632431,26.0520822525024,2.16031799316406,0.328363797068596,0.356795597076416,0.314840397238731
2.75,-76.25,lowprec_pls,lowprec,pls,2.25266234874725,25.8583679199219,2.2622326374054,0.326369297504425,0.356004095077515,0.317626696825027
8.25,-76.25,lowprec_pls,lowprec,pls,3.02074782848358,23.318900680542,3.52580478191376,0.291455900669098,0.301487898826599,0.407056298851967
8.75,-76.25,lowprec_pls,lowprec,pls,2.49256258010864,25.0569011688232,2.68986623287201,0.308482998609543,0.348456698656082,0.343060293793678
9.25,-76.25,lowprec_pls,lowprec,pls,3.04051887989044,23.6001155853271,3.49188013076782,0.295219296216965,0.304174301028252,0.400606203079224
-1.75,-75.75,lowprec_pls,lowprec,pls,2.59383819103241,24.2973184585571,2.86408700942993,0.306699100136757,0.337787196040154,0.355513697862625
-1.25,-75.75,lowprec_pls,lowprec,pls,2.17263889312744,26.0243228912354,2.10564210414886,0.326356601715088,0.359376600384712,0.314266699552536
