ny,nx,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
169,218,-5.25,-70.75,pftlowprec,lowprec,2.454959,24.876265,2.550837,0.336887,0.277408,0.381441
169,219,-5.25,-70.25,pftlowprec,lowprec,2.458135,24.783007,2.557074,0.337109,0.275862,0.382912
169,220,-5.25,-69.75,pftlowprec,lowprec,2.456235,24.84193,2.553976,0.337043,0.276737,0.382113
169,221,-5.25,-69.25,pftlowprec,lowprec,2.453049,24.95728,2.548536,0.336912,0.278426,0.380595
169,222,-5.25,-68.75,pftlowprec,lowprec,2.45276,24.953688,2.548227,0.33692,0.27839,0.380605
169,223,-5.25,-68.25,pftlowprec,lowprec,2.458075,24.773548,2.557044,0.337116,0.275747,0.382993
169,224,-5.25,-67.75,pftlowprec,lowprec,2.458477,24.7482,2.557499,0.337118,0.275433,0.383239
169,225,-5.25,-67.25,pftlowprec,lowprec,2.451342,25.02602,2.543991,0.336708,0.27961,0.379462
169,226,-5.25,-66.75,pftlowprec,lowprec,2.462508,24.664173,2.562682,0.337158,0.274215,0.384375
169,227,-5.25,-66.25,pftlowprec,lowprec,2.462624,24.626402,2.562924,0.337163,0.273759,0.384716
169,228,-5.25,-65.75,pftlowprec,lowprec,2.464846,24.606705,2.565434,0.337119,0.273465,0.385052
169,229,-5.25,-65.25,pftlowprec,lowprec,2.465331,24.584696,2.565799,0.337119,0.2732,0.385252
169,230,-5.25,-64.75,pftlowprec,lowprec,2.463477,24.636772,2.563754,0.337139,0.273869,0.384675
169,231,-5.25,-64.25,pftlowprec,lowprec,2.458706,24.796036,2.55656,0.336996,0.276143,0.382659
169,232,-5.25,-63.75,pftlowprec,lowprec,2.45502,24.928205,2.550521,0.336866,0.278051,0.380955
169,233,-5.25,-63.25,pftlowprec,lowprec,2.458159,24.780182,2.556871,0.337101,0.275849,0.382904
169,234,-5.25,-62.75,pftlowprec,lowprec,2.458589,24.75505,2.557306,0.337099,0.275542,0.383143
169,235,-5.25,-62.25,pftlowprec,lowprec,2.464793,24.617289,2.565193,0.337111,0.273608,0.384932
169,236,-5.25,-61.75,pftlowprec,lowprec,2.689366,23.1742,2.818622,0.328917,0.252825,0.413046
169,237,-5.25,-61.25,pftlowprec,lowprec,3,25.74601,3,0.32127,0.28619,0.39254
169,239,-5.25,-60.25,pftlowprec,lowprec,3,25.738724,3,0.321306,0.286081,0.392613
169,240,-5.25,-59.75,pftlowprec,lowprec,2.458144,25.288187,2.54556,0.33594,0.283303,0.376777
169,241,-5.25,-59.25,pftlowprec,lowprec,2.459653,24.718733,2.558475,0.33695,0.275175,0.383481
169,242,-5.25,-58.75,pftlowprec,lowprec,2.457948,25.316078,2.54573,0.335937,0.283612,0.376579
169,243,-5.25,-58.25,pftlowprec,lowprec,2.702378,23.539066,2.83007,0.328081,0.25731,0.410386
169,246,-5.25,-56.75,pftlowprec,lowprec,3,25.7425,3,0.321288,0.286138,0.392575
169,247,-5.25,-56.25,pftlowprec,lowprec,3,25.744766,3,0.321276,0.286171,0.392552
169,248,-5.25,-55.75,pftlowprec,lowprec,3,25.743765,3,0.321281,0.286156,0.392562
169,249,-5.25,-55.25,pftlowprec,lowprec,3,25.747375,3,0.321263,0.286211,0.392526
169,250,-5.25,-54.75,pftlowprec,lowprec,3,25.745615,3,0.321272,0.286184,0.392544
169,251,-5.25,-54.25,pftlowprec,lowprec,3,25.74001,3,0.3213,0.2861,0.3926
169,253,-5.25,-53.25,pftlowprec,lowprec,2.720494,23.940634,2.847442,0.327736,0.261671,0.408033
170,215,-4.75,-72.25,pftlowprec,lowprec,2.471255,24.982578,2.562907,0.335612,0.279237,0.380653
170,216,-4.75,-71.75,pftlowprec,lowprec,2.466884,25.052734,2.557565,0.335741,0.28018,0.379691
170,217,-4.75,-71.25,pftlowprec,lowprec,2.454703,24.95411,2.548198,0.336626,0.278657,0.380371
170,218,-4.75,-70.75,pftlowprec,lowprec,2.456158,24.832438,2.553904,0.337044,0.276627,0.382188
170,219,-4.75,-70.25,pftlowprec,lowprec,2.454139,24.907692,2.550677,0.336982,0.277695,0.381244
170,220,-4.75,-69.75,pftlowprec,lowprec,2.45158,25.019491,2.545981,0.336845,0.279318,0.379811
170,221,-4.75,-69.25,pftlowprec,lowprec,2.450271,25.062813,2.543646,0.336786,0.279975,0.379207
170,222,-4.75,-68.75,pftlowprec,lowprec,2.45259,24.973045,2.548054,0.336916,0.278624,0.380431
170,223,-4.75,-68.25,pftlowprec,lowprec,2.450229,25.050386,2.543655,0.336793,0.279823,0.379317
170,224,-4.75,-67.75,pftlowprec,lowprec,2.449122,25.095047,2.541589,0.336733,0.280485,0.378723
170,225,-4.75,-67.25,pftlowprec,lowprec,2.447191,25.206415,2.536915,0.336539,0.282161,0.377236
170,226,-4.75,-66.75,pftlowprec,lowprec,2.454485,24.913563,2.549952,0.336891,0.277883,0.381045
170,227,-4.75,-66.25,pftlowprec,lowprec,2.461745,24.629072,2.561984,0.337178,0.273813,0.384632
170,228,-4.75,-65.75,pftlowprec,lowprec,2.460873,24.651922,2.559967,0.33709,0.274244,0.384201
170,229,-4.75,-65.25,pftlowprec,lowprec,2.459516,24.672812,2.557378,0.337018,0.274663,0.383749
170,230,-4.75,-64.75,pftlowprec,lowprec,2.461354,24.638365,2.560404,0.337082,0.274078,0.384338
170,231,-4.75,-64.25,pftlowprec,lowprec,2.459383,24.78354,2.557285,0.336981,0.275981,0.38281
170,232,-4.75,-63.75,pftlowprec,lowprec,2.462687,24.712378,2.563009,0.337122,0.274786,0.383993
170,233,-4.75,-63.25,pftlowprec,lowprec,2.456046,24.811985,2.553572,0.337037,0.276412,0.382319
170,234,-4.75,-62.75,pftlowprec,lowprec,2.45923,24.74495,2.558098,0.337085,0.275402,0.383285
170,235,-4.75,-62.25,pftlowprec,lowprec,2.460678,25.075296,2.550174,0.33587,0.280643,0.378974
170,236,-4.75,-61.75,pftlowprec,lowprec,2.464992,25.062033,2.554808,0.335776,0.280386,0.379383
170,240,-4.75,-59.75,pftlowprec,lowprec,2.470542,25.299662,2.560128,0.335615,0.283096,0.377689
170,241,-4.75,-59.25,pftlowprec,lowprec,2.455992,25.311531,2.543268,0.335989,0.283624,0.376437
170,242,-4.75,-58.75,pftlowprec,lowprec,2.472347,25.321136,2.56243,0.335563,0.283287,0.377679
170,243,-4.75,-58.25,pftlowprec,lowprec,2.703102,23.558563,2.83081,0.328059,0.257527,0.410266
