ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
168,230,-5.75,-64.75,1,3075515400.0,3.966052,3.00986,1.813777,64.83206,5.100646,0.306543,19.851757,1.484089,1.50592,16.861748,2.412497,28.0037,2.412497,32.93751,32.670982,33.72607
168,231,-5.75,-64.25,1,3075515400.0,3.769452,2.921152,1.683629,72.98254,5.020601,0.298735,18.570732,1.374172,1.392717,15.803843,2.411613,28.022158,2.411613,32.941936,32.69252,33.70627
168,232,-5.75,-63.75,1,3075515400.0,3.854633,2.887236,1.748192,74.774025,4.861997,0.310321,19.243967,1.420545,1.440144,16.383278,2.412145,28.0289,2.412145,32.939266,32.700382,33.703304
168,233,-5.75,-63.25,1,3075515400.0,4.017879,2.99363,1.758497,83.407524,5.12651,0.310086,19.344019,1.419548,1.436007,16.488464,2.409928,28.04905,2.409928,32.95036,32.723892,33.67543
168,234,-5.75,-62.75,1,3075515400.0,3.855273,2.922857,1.79306,80.226845,5.227434,0.305452,19.802656,1.473885,1.498275,16.830496,2.414793,28.000532,2.414793,32.92603,32.66729,33.740185
168,235,-5.75,-62.25,1,3075515400.0,0.619484,0.771721,0.350965,66.101494,5.523087,0.175943,9.799432,0.341396,0.398296,9.05974,3.0,30.0,3.0,30.0,35.0,35.0
168,240,-5.75,-59.75,1,3075515400.0,1.17636,1.309873,0.672223,65.77804,5.163515,0.197075,11.288261,0.553455,0.599909,10.134896,2.477813,28.233185,2.477813,32.610935,32.938713,33.861416
168,241,-5.75,-59.25,1,3075515400.0,2.773547,2.268454,1.233627,67.026985,4.999188,0.239879,15.107594,0.990069,1.018263,13.099262,2.429332,28.10944,2.429332,32.853336,32.79435,33.722122
168,242,-5.75,-58.75,1,3075515400.0,1.491187,1.499749,0.785445,68.75297,4.734356,0.207405,11.832849,0.639127,0.67741,10.516312,2.460326,28.21552,2.460326,32.698368,32.918106,33.788696
168,243,-5.75,-58.25,1,3075515400.0,1.028367,1.294023,0.567362,64.19927,4.660758,0.167288,9.714307,0.513175,0.607978,8.593154,2.927508,27.825237,2.927508,30.362461,32.462776,36.449844
