ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
165,239,-7.25,-60.25,1,3066355000.0,5.602213,3.582196,2.020017,72.40888,4.838599,0.35012,20.839487,1.534892,1.539755,17.764841,2.39885,28.095995,2.39885,33.00575,32.77866,33.580925
165,240,-7.25,-59.75,1,3066355000.0,5.576101,3.559304,2.016796,69.137436,4.765234,0.350901,20.867268,1.531729,1.536396,17.799143,2.39884,28.102028,2.39884,33.0058,32.785698,33.575844
165,241,-7.25,-59.25,1,3066355000.0,5.491662,3.508878,1.982784,72.49225,4.716827,0.35016,20.563879,1.505069,1.509505,17.549305,2.398926,28.106638,2.398926,33.00537,32.791077,33.572433
165,242,-7.25,-58.75,0,3066355000.0,5.472601,3.525565,1.947035,80.95329,4.842593,0.345173,20.076414,1.476651,1.48109,17.118675,2.398566,28.096603,2.398566,33.00717,32.77937,33.578995
165,243,-7.25,-58.25,0,3066355000.0,5.635294,3.635261,2.000033,85.59063,5.129737,0.345532,20.470726,1.517218,1.524711,17.428799,2.400027,28.071936,2.400027,32.999863,32.75059,33.606857
166,225,-6.75,-67.25,0,3069642200.0,3.087807,2.518558,1.332241,102.88846,4.79274,0.287104,13.733035,1.105698,1.117972,11.509364,2.402654,27.869102,2.402654,32.98673,32.513954,33.789017
166,226,-6.75,-66.75,1,3069642200.0,3.40266,2.716335,1.491903,92.63294,5.042427,0.297153,15.443989,1.230602,1.244552,12.968834,2.403859,27.89368,2.403859,32.980705,32.54263,33.774563
166,227,-6.75,-66.25,1,3069642200.0,3.879566,2.93213,1.774005,77.105064,5.110728,0.316265,18.130148,1.451459,1.471499,15.207191,2.406765,27.886768,2.406765,32.96617,32.53456,33.79485
166,228,-6.75,-65.75,1,3069642200.0,3.940977,3.023028,1.780534,75.47247,5.239519,0.30647,18.0829,1.456063,1.476799,15.150036,2.40699,27.875761,2.40699,32.96505,32.52172,33.80515
166,229,-6.75,-65.25,1,3069642200.0,4.292683,3.182683,1.89117,71.532555,5.318518,0.315414,19.244616,1.525214,1.545583,16.173817,2.406965,27.913673,2.406965,32.96517,32.56595,33.77343
166,230,-6.75,-64.75,1,3069642200.0,4.538351,3.303806,1.862236,75.68704,5.3675,0.318818,19.067272,1.476553,1.491775,16.098946,2.404591,27.967484,2.404591,32.977043,32.628727,33.71672
166,231,-6.75,-64.25,1,3069642200.0,4.671279,3.315495,1.931465,76.95407,5.319706,0.329879,19.840076,1.52282,1.538624,16.778633,2.405213,27.985205,2.405213,32.973934,32.649406,33.705063
166,232,-6.75,-63.75,1,3069642200.0,4.003799,3.038846,1.749116,83.94583,5.333707,0.305612,17.854786,1.413553,1.431705,15.009527,2.406472,27.91494,2.406472,32.96764,32.56743,33.769913
166,233,-6.75,-63.25,1,3069642200.0,3.878634,3.007776,1.721317,89.36164,5.396011,0.299837,17.53096,1.398819,1.417528,14.714615,2.406662,27.897602,2.406662,32.96669,32.547203,33.785313
166,234,-6.75,-62.75,0,3069642200.0,4.209239,3.140081,1.824592,85.09403,5.384304,0.308742,18.57886,1.470695,1.489416,15.618748,2.406363,27.918274,2.406363,32.96818,32.57132,33.766586
166,235,-6.75,-62.25,0,3069642200.0,3.875188,3.053827,1.731385,83.38583,5.467623,0.293174,17.999308,1.416631,1.44037,15.142306,2.411245,27.89972,2.411245,32.94378,32.54967,33.806458
166,236,-6.75,-61.75,0,3069642200.0,1.612329,1.975407,0.868566,75.59978,5.548603,0.181973,10.879115,0.790057,0.94661,9.142449,2.891674,26.750233,2.891674,30.541626,31.208605,37.166508
166,237,-6.75,-61.25,0,3069642200.0,2.96265,2.374885,1.233397,79.1813,5.313459,0.260962,14.76383,1.027753,1.091899,12.644178,2.455189,27.787266,2.455189,32.724056,32.418476,34.11989
166,238,-6.75,-60.75,1,3069642200.0,5.833687,3.736024,2.097663,74.1441,5.14207,0.350949,21.413305,1.594689,1.601185,18.21743,2.399212,28.073761,2.399212,33.00394,32.752724,33.601257
166,239,-6.75,-60.25,1,3069642200.0,5.674683,3.632221,2.042462,72.5387,4.934255,0.350486,21.042856,1.552944,1.557877,17.932034,2.398474,28.091555,2.398474,33.007626,32.773483,33.582737
166,240,-6.75,-59.75,1,3069642200.0,5.559966,3.557753,2.002213,70.807915,4.777116,0.350303,20.722952,1.523926,1.528394,17.670631,2.398436,28.097757,2.398436,33.00782,32.780716,33.57738
166,241,-6.75,-59.25,1,3069642200.0,5.475971,3.499036,1.976935,69.75279,4.670006,0.350598,20.520098,1.504888,1.509302,17.505907,2.398805,28.102448,2.398805,33.005978,32.786186,33.57533
166,242,-6.75,-58.75,1,3069642200.0,5.351526,3.435533,1.915994,75.137856,4.618336,0.347254,19.913647,1.45881,1.46278,16.992058,2.398615,28.103745,2.398615,33.006924,32.7877,33.57329
166,243,-6.75,-58.25,1,3069642200.0,5.338072,3.442572,1.895501,82.784386,4.707819,0.344225,19.646826,1.44388,1.447695,16.755249,2.398207,28.097664,2.398207,33.008957,32.78061,33.576313
166,244,-6.75,-57.75,0,3069642200.0,3.530081,2.649403,1.430828,88.019806,4.972491,0.283123,16.164341,1.107832,1.135496,13.921014,2.423283,28.061981,2.423283,32.88359,32.73898,33.731434
167,222,-6.25,-68.75,0,3072695800.0,3.457756,2.562519,1.378194,98.03602,4.28396,0.302767,14.501918,1.11205,1.120413,12.269455,2.401785,27.980427,2.401785,32.991077,32.643833,33.691906
167,223,-6.25,-68.25,0,3072695800.0,3.32172,2.512099,1.336817,102.01449,4.335247,0.29805,14.00907,1.087175,1.095981,11.825916,2.401706,27.954615,2.401706,32.991474,32.613716,33.713017
167,224,-6.25,-67.75,0,3072695800.0,3.31682,2.533218,1.341753,99.73428,4.392213,0.295152,14.014805,1.095261,1.104603,11.814941,2.401714,27.939026,2.401714,32.991432,32.59553,33.72605
167,225,-6.25,-67.25,0,3072695800.0,3.403567,2.601286,1.389144,98.56549,4.539936,0.296367,14.550865,1.134941,1.144864,12.271059,2.402124,27.942116,2.402124,32.98938,32.599133,33.725525
167,226,-6.25,-66.75,1,3072695800.0,3.859034,2.852905,1.657304,86.434456,4.828654,0.316904,17.421839,1.342202,1.355575,14.724062,2.404585,27.968288,2.404585,32.977074,32.62967,33.716022
167,227,-6.25,-66.25,1,3072695800.0,4.41431,3.08454,1.931205,74.6013,4.934838,0.338059,19.957449,1.546096,1.564286,16.847067,2.406429,27.961992,2.406429,32.967854,32.622326,33.730484
167,228,-6.25,-65.75,1,3072695800.0,4.70299,3.221765,2.095219,65.21366,4.994724,0.345885,21.112818,1.67429,1.697518,17.741009,2.407536,27.9193,2.407536,32.962322,32.572517,33.77159
167,229,-6.25,-65.25,1,3072695800.0,5.202963,3.436031,2.282765,59.00886,5.047182,0.364321,22.898432,1.78924,1.813442,19.29575,2.407936,27.95495,2.407936,32.96032,32.61411,33.74389
167,230,-6.25,-64.75,1,3072695800.0,5.050334,3.485853,1.989217,71.718216,5.243939,0.336299,20.526663,1.546309,1.558512,17.421843,2.403301,28.031094,2.403301,32.9835,32.70294,33.65726
167,231,-6.25,-64.25,1,3072695800.0,4.99557,3.430259,1.969596,75.73996,5.190443,0.338079,20.445631,1.528669,1.540517,17.376444,2.403611,28.044249,2.403611,32.981945,32.718292,33.647854
167,232,-6.25,-63.75,1,3072695800.0,4.597705,3.239694,1.890004,80.70565,5.113561,0.332869,19.51774,1.4853,1.499286,16.533154,2.404588,28.003994,2.404588,32.97706,32.671326,33.686275
167,233,-6.25,-63.25,1,3072695800.0,4.398634,3.169809,1.855677,85.12035,5.236839,0.323529,18.951233,1.475612,1.491976,15.983644,2.4052,27.954916,2.4052,32.974,32.614067,33.73024
167,234,-6.25,-62.75,0,3072695800.0,4.698588,3.311364,1.947957,83.16142,5.299543,0.331545,19.881872,1.537467,1.553438,16.790966,2.404738,27.97289,2.404738,32.976307,32.63504,33.712948
167,235,-6.25,-62.25,0,3072695800.0,5.068809,3.468999,2.059831,77.74555,5.382336,0.337548,21.249153,1.615971,1.632603,18.00058,2.405622,28.00404,2.405622,32.97189,32.67138,33.69141
167,236,-6.25,-61.75,0,3072695800.0,6.219212,3.927295,2.291917,74.58344,5.479675,0.362194,23.195423,1.74505,1.755209,19.695164,2.400757,28.052471,2.400757,32.996212,32.727882,33.626724
167,237,-6.25,-61.25,0,3072695800.0,6.210618,3.927957,2.282661,71.58702,5.432788,0.360734,23.103891,1.735967,1.744515,19.623411,2.399783,28.059608,2.399783,33.001087,32.73621,33.615902
167,238,-6.25,-60.75,1,3072695800.0,6.230078,3.885987,2.344093,65.63448,5.194943,0.368904,23.706745,1.783373,1.793494,20.129879,2.400581,28.056076,2.400581,32.997093,32.73209,33.62284
167,239,-6.25,-60.25,1,3072695800.0,5.904665,3.762294,2.14237,69.212265,5.104918,0.354914,21.925575,1.62809,1.634408,18.663076,2.398921,28.079662,2.398921,33.005398,32.759605,33.594883
167,240,-6.25,-59.75,1,3072695800.0,5.690547,3.64138,2.049167,69.29611,4.921482,0.351483,21.101908,1.557957,1.562999,17.980953,2.398497,28.090248,2.398497,33.007515,32.771957,33.583942
167,241,-6.25,-59.25,1,3072695800.0,5.578948,3.563392,2.015555,68.388664,4.772329,0.352199,20.850143,1.534041,1.538712,17.77739,2.398698,28.097034,2.398698,33.006508,32.779873,33.579296
167,242,-6.25,-58.75,1,3072695800.0,5.408195,3.464537,1.943659,71.349144,4.626517,0.349464,20.18598,1.479963,1.483924,17.222092,2.398564,28.103462,2.398564,33.00718,32.787373,33.573265
167,243,-6.25,-58.25,1,3072695800.0,5.323715,3.417414,1.9063,75.77806,4.589546,0.34784,19.840565,1.453691,1.457467,16.929407,2.398489,28.103485,2.398489,33.00755,32.7874,33.572876
167,244,-6.25,-57.75,0,3072695800.0,5.14818,3.328832,1.819348,82.730064,4.749197,0.342004,18.98938,1.392643,1.405937,16.1908,2.405141,28.052061,2.405141,32.974293,32.727406,33.64899
167,245,-6.25,-57.25,0,3072695800.0,2.98048,2.396321,1.278051,83.79467,5.00629,0.259161,14.928171,1.005585,1.037167,12.88542,2.43008,28.047178,2.43008,32.8496,32.72171,33.777752
