ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
165,229,-7.25,-65.25,nclim,0,3066355000,3.928308,3.157152,1.61914,86.40098,5.532888,0.285471,14.563409,1.358161,1.548092,11.657156
165,230,-7.25,-64.75,nclim,1,3066355000,3.855206,3.120603,1.638451,81.56757,5.507785,0.285832,14.784459,1.380674,1.575855,11.82793
165,231,-7.25,-64.25,nclim,1,3066355000,3.578775,3.022517,1.579362,85.54132,5.557411,0.277868,14.232589,1.344206,1.537304,11.35108
165,232,-7.25,-63.75,nclim,0,3066355000,3.469693,2.978908,1.500497,95.10993,5.59774,0.271797,13.497053,1.275989,1.457878,10.763186
165,233,-7.25,-63.25,nclim,0,3066355000,3.400465,2.920761,1.508316,94.98815,5.608924,0.270816,13.848382,1.293027,1.482206,11.073149
165,234,-7.25,-62.75,nclim,0,3066355000,2.785998,2.522404,1.305583,91.528145,5.525887,0.249935,12.687139,1.106621,1.327023,10.253494
165,235,-7.25,-62.25,nclim,0,3066355000,0.724901,1.032507,0.383756,85.921165,5.45492,0.150775,8.057681,0.396573,0.515231,7.145877
165,237,-7.25,-61.25,nclim,1,3066355000,0.658245,1.016272,0.36247,69.12769,5.300771,0.140443,5.742847,0.387997,0.498853,4.855998
165,238,-7.25,-60.75,nclim,1,3066355000,3.935383,2.925863,1.44152,78.26186,4.956631,0.289347,14.757634,1.188721,1.395402,12.173511
165,239,-7.25,-60.25,nclim,1,3066355000,5.399728,3.564632,1.835095,75.12646,4.811337,0.328913,16.987612,1.44377,1.631653,13.912187
165,240,-7.25,-59.75,nclim,1,3066355000,5.37415,3.541896,1.832255,71.73278,4.739299,0.329663,17.028187,1.440796,1.628056,13.959334
165,241,-7.25,-59.25,nclim,1,3066355000,5.292699,3.491546,1.801153,75.22294,4.690231,0.328915,16.797363,1.415584,1.599578,13.7822
165,242,-7.25,-58.75,nclim,0,3066355000,5.276353,3.507779,1.768574,84.00906,4.813095,0.324083,16.363407,1.38882,1.569514,13.405072
165,243,-7.25,-58.25,nclim,0,3066355000,5.44699,3.625969,1.821021,88.79492,5.097258,0.32453,16.65636,1.43048,1.62007,13.605809
166,225,-6.75,-67.25,nclim,0,3069642200,3.001153,2.542299,1.22544,106.78315,4.758443,0.271817,11.221688,1.051984,1.196516,8.973188
166,226,-6.75,-66.75,nclim,1,3069642200,3.306455,2.742995,1.372798,96.102356,5.009411,0.282029,12.643411,1.171182,1.332585,10.139643
166,227,-6.75,-66.25,nclim,1,3069642200,3.775246,2.969798,1.637041,79.90479,5.080602,0.301207,14.78764,1.385254,1.580168,11.822216
166,228,-6.75,-65.75,nclim,1,3069642200,3.841108,3.063345,1.643944,78.211876,5.20913,0.292241,14.714661,1.389938,1.586229,11.738493
166,229,-6.75,-65.25,nclim,1,3069642200,4.18317,3.220495,1.743935,74.115974,5.289132,0.300486,15.670543,1.454231,1.658684,12.557628
166,230,-6.75,-64.75,nclim,1,3069642200,4.416363,3.329273,1.710911,78.46751,5.336997,0.302758,15.547639,1.402351,1.595526,12.549763
166,231,-6.75,-64.25,nclim,1,3069642200,4.544543,3.341533,1.774703,79.76434,5.288409,0.313136,16.20251,1.446621,1.646281,13.109609
166,232,-6.75,-63.75,nclim,1,3069642200,3.906428,3.074102,1.612466,87.015816,5.30019,0.291091,14.553985,1.346925,1.535596,11.671464
166,233,-6.75,-63.25,nclim,1,3069642200,3.78566,3.044593,1.587804,92.630775,5.360397,0.28572,14.278,1.333584,1.520921,11.423495
166,234,-6.75,-62.75,nclim,0,3069642200,4.106024,3.174211,1.681095,88.19338,5.349953,0.293958,15.126604,1.400824,1.596758,12.129021
166,235,-6.75,-62.25,nclim,0,3069642200,3.81011,3.108713,1.605812,86.41192,5.434045,0.280002,14.813326,1.356769,1.552993,11.903564
166,236,-6.75,-61.75,nclim,0,3069642200,1.556908,1.901421,0.806464,84.098915,5.455596,0.181758,9.254272,0.732193,0.952717,7.569364
166,237,-6.75,-61.25,nclim,0,3069642200,3.124413,2.576165,1.222431,81.88473,5.284555,0.25433,13.141504,1.049485,1.25603,10.835989
166,238,-6.75,-60.75,nclim,1,3069642200,5.627778,3.720668,1.90711,76.9052,5.112934,0.32984,17.390652,1.501326,1.698228,14.1911
166,239,-6.75,-60.25,nclim,1,3069642200,5.470052,3.614326,1.855726,75.25309,4.906624,0.329372,17.14107,1.461043,1.650903,14.029125
166,240,-6.75,-59.75,nclim,1,3069642200,5.358269,3.539529,1.81874,73.46789,4.750615,0.329167,16.909153,1.433437,1.619329,13.856385
166,241,-6.75,-59.25,nclim,1,3069642200,5.276812,3.481232,1.795581,72.38154,4.644317,0.32938,16.765242,1.415411,1.599189,13.750644
166,242,-6.75,-58.75,nclim,1,3069642200,5.156932,3.417186,1.739745,77.98449,4.591455,0.32609,16.27769,1.371712,1.549596,13.356381
166,243,-6.75,-58.25,nclim,1,3069642200,5.144162,3.423313,1.720849,85.92431,4.678506,0.323157,16.040625,1.357528,1.533353,13.149742
166,244,-6.75,-57.75,nclim,0,3069642200,3.559868,2.74765,1.342413,91.42914,4.938932,0.270169,13.936008,1.079329,1.258265,11.598414
167,222,-6.25,-68.75,nclim,0,3072695800,3.359575,2.575485,1.262699,101.79013,4.253519,0.285661,11.933485,1.053411,1.194824,9.685249
167,223,-6.25,-68.25,nclim,0,3072695800,3.228802,2.526469,1.225535,105.921,4.303837,0.281224,11.510128,1.030523,1.169243,9.310362
167,224,-6.25,-67.75,nclim,0,3072695800,3.225231,2.548702,1.230529,103.54717,4.361152,0.278413,11.501245,1.038693,1.178861,9.28369
167,225,-6.25,-67.25,nclim,0,3072695800,3.309574,2.617797,1.274244,102.3219,4.508602,0.279675,11.955154,1.076684,1.222191,9.656281
167,226,-6.25,-66.75,nclim,1,3072695800,3.752676,2.87582,1.522527,89.65876,4.797976,0.300276,14.345368,1.275458,1.44988,11.620032
