,nx,ny,lat,lon,PLS,gpp,ra,npp,rc,et,wue,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
1,201,187,3.75,-79.25,1000PLS,0.357792753726244,0.640196248888969,0.141617001965642,175.42712020874,3.81200474500656,0.00631349999457598,0.107380997389555,2.45703846216202,0.213763497769833,0.582319006323814,1.66095577739179,4.57235544919968,13.0667936205864,5.79715824127197,0.286730501800776,0.166005751118064,0.547263748943806
2,201,188,4.25,-79.25,1000PLS,0.666416800022125,0.802346503734589,0.337385001778603,167.546160888672,4.15984072685242,0.005917799891904,0.185812899470329,2.8376485824585,0.324555799365044,0.576800292730331,1.93629261255264,3.60454339981079,20.7101392745972,4.10678312778473,0.303678500652313,0.248409402370453,0.447912001609802
3,201,189,4.75,-79.25,1000PLS,0.741277500987053,0.842384004592896,0.377823200821877,170.232530212402,4.29269480705261,0.00576950013637543,0.198625799268484,4.63346540927887,0.379253199696541,0.553563904762268,3.70064806938171,3.41930358409882,22.9738325119019,3.77524361610413,0.320730799436569,0.279810199141502,0.399458998441696
4,202,187,3.75,-78.75,1000PLS,2.60261993408203,1.40852179527283,1.19409819841385,147.807289123535,4.16170315742493,0.00661400007084012,0.461832201480865,13.163245010376,0.739053797721863,0.745923799276352,11.6782688140869,2.22780380249023,25.4757061004639,2.20867807865143,0.319900399446487,0.362025001645088,0.318074297904968
5,202,188,4.25,-78.75,1000PLS,2.06213233470917,1.24377239942551,0.862019294500351,146.239508056641,4.09432988166809,0.00678300019353628,0.376248002052307,7.79787707328796,0.603783494234085,0.745008105039597,6.449085521698,2.52761151790619,22.3292757034302,2.68778569698334,0.312817201018333,0.337907800078392,0.349274995923042
6,202,189,4.75,-78.75,1000PLS,2.61303102970123,1.46694850921631,1.14610329866409,146.548854064941,4.48560242652893,0.00614400021731853,0.438404396176338,12.4514358520508,0.698345309495926,0.77913870215416,10.9739521980286,2.25068781375885,25.1106628417969,2.32586970329285,0.31223149895668,0.362142503261566,0.325625905394554
7,202,190,5.25,-78.75,1000PLS,1.33174608945847,1.21067389249802,0.54543029665947,153.182711791992,4.90366702079773,0.00540699996054173,0.230294400453567,5.17151470184326,0.451463600993156,0.713808995485306,4.00624303817749,3.01658308506012,22.6437845230103,3.45804903507233,0.301555100083351,0.301568999886513,0.3968759983778
8,203,181,0.75,-78.25,1000PLS,1.81092660427094,1.07542678117752,0.735500305891037,162.98729095459,3.35045871734619,0.00750999990850687,0.405269905924797,7.18677763938904,0.767957597970963,0.710530894994736,5.70828924179077,3.24285488128662,23.5759622573853,2.962269282341,0.351125001907349,0.307826003432274,0.341048899292946
9,203,182,1.25,-78.25,1000PLS,2.27640705108643,1.18374329805374,1.09310009479523,152.641361999512,3.9994966506958,0.00661000004038215,0.482231897115707,11.6724147796631,0.745950096845627,0.668064802885056,10.2584005355835,2.34463338851929,25.1358533859253,2.17812101840973,0.332375499606132,0.352845102548599,0.314779296517372
10,203,183,1.75,-78.25,1000PLS,2.21584560871124,1.15408941507339,1.06336499452591,162.3408203125,3.86838479042053,0.00649899989366531,0.480682301521301,11.1987267494202,0.739310801029205,0.661051201820374,9.79836349487305,2.3787407875061,24.9468154907227,2.20062601566315,0.333572998642921,0.350706404447556,0.315720701217651
11,203,184,2.25,-78.25,1000PLS,2.15635402202606,1.13133518695831,1.02793009877205,167.973924255371,3.68027582168579,0.00659080008044839,0.476068198680878,10.8758864402771,0.730685305595398,0.660805803537369,9.48439683914185,2.43506875038147,24.9076963424683,2.25726788043976,0.33161070048809,0.351239997148514,0.317149302363396
12,203,185,2.75,-78.25,1000PLS,2.63294208049774,1.48146549463272,1.15147668123245,154.682273864746,4.19922289848328,0.00603500008583069,0.439030292630196,12.4884885787964,0.724344998598099,0.807657903432846,10.9564832687378,2.28357322216034,24.9522369384766,2.39430589675903,0.31350160241127,0.361120501160622,0.325377601385117
13,203,186,3.25,-78.25,1000PLS,2.86498665809631,1.60380811691284,1.26117868423462,150.850993347168,4.25671668052673,0.00609100004658103,0.443085399270058,14.0615111351013,0.763716900348663,0.755468302965164,12.5423263549805,2.18634810447693,25.6059083938599,2.15854499340057,0.321344003081322,0.363481903076172,0.315174400806427
14,203,187,3.75,-78.25,1000PLS,2.84301776885986,1.56310620307922,1.27991169691086,144.905023193359,4.06654777526856,0.00666899979114532,0.452758005261421,14.2437995910645,0.784807604551315,0.734841603040695,12.7241521835327,2.18979847431183,25.5583362579346,2.0978874206543,0.324163901805878,0.363793504238129,0.312042596936226
15,203,188,4.25,-78.25,1000PLS,2.86567525863647,1.59550639390945,1.27016878128052,140.645425415039,4.12733101844788,0.00682399980723858,0.445807498693466,14.1661151885986,0.773101502656937,0.743256199359894,12.6497501373291,2.18596487045288,25.5814739227295,2.12472956180572,0.322683504223824,0.363913497328758,0.313403195142746
16,203,189,4.75,-78.25,1000PLS,2.96959128379822,1.68254169225693,1.28704950809479,140.048132324219,4.32107186317444,0.00679499981924891,0.435979399085045,14.3201580047607,0.781626909971237,0.74732249379158,12.7912088394165,2.17664210796356,25.6159767150879,2.11814019680023,0.324623003602028,0.362237599492073,0.313139498233795
17,203,190,5.25,-78.25,1000PLS,2.87382068634033,1.63498220443726,1.23883860111237,139.871296691895,4.62456135749817,0.00639500003308058,0.433627501130104,13.731427192688,0.741315603256226,0.788123798370361,12.20198802948,2.1907062292099,25.511408996582,2.23759880065918,0.3162348985672,0.363510301709175,0.320254996418953
